cus,pickup_bus_node,drop_off_transit_node,ride_time,cus_walking_time
89,31,86,4.302670682188364,1.7263303239945873
90,37,86,2.0174075294628153,0.5994619617612248
91,65,86,3.267374127879634,0.36315924424169654
92,33,86,6.801829836203154,0.20526768749467966
93,8,86,8.230617502513041,1.0749547990818984
94,26,86,5.224206714516498,0.9016899550768563
95,56,86,8.497747356781048,1.0907188512429475
96,21,86,4.62139387416218,1.318908650241427
97,53,86,6.5575871333510065,0.6202683424204415
98,6,86,7.858214736956427,1.4302349602504125
99,63,86,8.12692757623256,0.9790046212571814
100,22,86,3.7209214072047985,1.4634672579955157
101,34,86,4.18539515367317,1.5837918583320933
102,43,86,4.853764866160532,0.9881828067293886
103,82,86,6.734949132978642,1.5315801822533726
104,74,86,4.807296283731006,1.5354141084505692
105,76,86,7.235007127104495,1.55482339588377
106,10,86,5.098493768765479,1.7248134185237887
107,14,86,6.394359315269668,1.5698349901164075
108,67,86,3.296583023592973,1.6830546664860955
109,47,86,1.9928836014111369,1.599046969626804
110,28,86,2.670190746751672,0.8816663995743548
111,41,86,4.74483567506104,1.0982443869940868
112,57,86,6.759308574404997,1.0982978210878114
113,2,86,6.360488385673534,1.7056105341248486
114,23,86,2.364553198936221,0.4387511847005357
115,50,86,6.64988432442135,1.1217999192474266
116,66,86,2.645375168829247,1.6369037909300743
117,13,86,6.708294445375856,0.6250960673573334
118,83,86,7.641295744885156,1.0356288763597579
119,76,86,7.235007127104495,0.9290144199029111
120,1,86,7.583379951938582,0.6139401366171471
121,48,86,2.83978702570073,1.3179677760945172
122,78,86,4.396912464683965,1.7295169635871273
123,54,86,8.783297808221079,0.813524605489608
124,60,86,5.26578914654533,1.292797465652382
125,18,86,6.207719331548674,1.4229054976924231
126,59,86,5.240559594366005,0.6137049774182717
127,71,86,3.0810639962928974,0.29395348359737417
128,64,86,6.422108299124119,0.5595518226353389
129,36,86,2.9736123416961675,1.570075457160094
130,9,86,8.153502464078798,1.5209547356704822
131,32,86,8.692805827417232,0.4052592830586266
132,44,86,1.8963736547215433,1.0444786252556422
133,72,86,8.812630248791152,0.9579647399077755
134,25,86,8.403001326272545,0.6297413980148565
135,39,86,4.358591410246021,1.6149451017483223
136,25,86,8.403001326272545,0.9822616230891716
137,81,86,8.680732265508766,0.3802841043220262
138,16,86,5.025551779013284,1.6910854768359258
