node,type_node,x,y,t_arr,t_begin_service,t_wait,t_departure,ride_time,num_passenger,qi,ei,li,service_or_chg_time,Li,lyr,cus_set
86,depot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1257.6740408404482,0.0,0.0,1,Int64[]
4,bus stop,-16.17494,-11.1165,23.646562153091892,209.03015677036217,0.0,209.53015677036217,35.46984322963783,1,1,209.03015677036217,235.8534378469081,0.5,35.46984322963784,1,[119]
18,bus stop,-10.17494,-6.7165,218.49453037891072,222.46656802711612,0.0,222.96656802711612,22.033431972883875,2,1,222.46656802711612,244.81104535141074,0.5,22.033431972883882,1,[124]
34,bus stop,-6.77494,-6.5165,227.07003462131524,227.51160751786637,0.0,228.01160751786637,16.988392482133634,3,1,227.51160751786637,248.17440501191092,0.5,16.98839248213362,1,[116]
42,bus stop,-3.97494,-3.5165,232.955772464537,234.90875158710458,0.0,235.40875158710458,9.591248412895425,4,1,234.90875158710458,253.10583439140305,0.5,9.591248412895428,1,[136]
48,bus stop,-1.57494,-1.1165,239.4980438156533,242.17404084044819,0.0,242.67404084044819,2.3259591595518145,5,1,241.01106126067225,257.1740408404482,0.5,3.4889387393277387,1,[90]
84,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,4,-1,245.0,260.0,0.0,3.4889387393277387,1,Int64[]
84,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,3,-1,245.0,260.0,0.0,16.98839248213362,1,Int64[]
84,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,2,-1,245.0,260.0,0.0,9.591248412895428,1,Int64[]
84,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,1,-1,245.0,260.0,0.0,35.46984322963784,1,Int64[]
84,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,0,-1,245.0,260.0,0.0,22.033431972883882,1,Int64[]
86,depot,0.0,0.0,245.0,245.0,0.0,245.0,0.0,0,0,0.0,1257.6740408404482,0.0,0.0,1,Int64[]
