busStop_ID,busStop_X,busStop_Y
1,-13.92515,3.48853
2,-12.52515,8.28853
3,-12.32515,-1.91147
4,-12.12515,-1.91147
5,-11.72515,-8.91147
6,-11.52515,9.48853
7,-11.32515,9.48853
8,-11.12515,-7.91147
9,-11.12515,-7.71147
10,-11.12515,3.08853
11,-10.92515,3.08853
12,-10.72515,1.88853
13,-10.52515,0.48853
14,-10.52515,0.68853
15,-10.32515,0.88853
16,-10.12515,-9.31147
17,-10.12515,0.88853
18,-9.92515,-9.11147
19,-9.92515,3.28853
20,-9.92515,4.48853
21,-9.72515,3.28853
22,-9.52515,1.88853
23,-9.52515,5.88853
24,-9.52515,6.08853
25,-9.32515,1.88853
26,-9.32515,7.28853
27,-9.32515,8.88853
28,-9.32515,10.48853
29,-9.12515,8.88853
30,-9.12515,10.48853
31,-8.92515,4.68853
32,-8.72515,4.68853
33,-8.52515,8.68853
34,-8.12515,-7.11147
35,-8.12515,-6.91147
36,-8.12515,0.68853
37,-8.12515,0.88853
38,-7.92515,-9.31147
39,-7.72515,-9.31147
40,-7.72515,9.08853
41,-7.52515,6.68853
42,-7.32515,6.28853
43,-7.32515,6.68853
44,-7.12515,-13.11147
45,-7.12515,-12.91147
46,-7.12515,-8.11147
47,-7.12515,-3.31147
48,-7.12515,6.28853
49,-6.52515,11.68853
50,-6.32515,-8.11147
51,-6.32515,-7.91147
52,-6.32515,3.88853
53,-6.32515,7.28853
54,-6.32515,7.48853
55,-6.32515,11.68853
56,-6.32515,11.88853
57,-6.12515,3.88853
58,-5.72515,-4.51147
59,-5.52515,-10.91147
60,-5.52515,-4.51147
61,-5.32515,-10.91147
62,-5.32515,-9.91147
63,-5.32515,-9.71147
64,-5.32515,-8.51147
65,-5.32515,-8.31147
66,-5.32515,-2.51147
67,-5.12515,-10.71147
68,-5.12515,-10.51147
69,-4.52515,-6.71147
70,-4.32515,-6.71147
71,-4.32515,6.08853
72,-4.32515,12.28853
73,-4.12515,12.28853
74,-3.92515,-12.51147
75,-3.92515,-12.31147
76,-3.92515,8.48853
77,-3.72515,-12.31147
78,-3.32515,-11.51147
79,-3.32515,-11.31147
80,-3.32515,11.48853
81,-3.32515,11.68853
82,-3.12515,-2.71147
83,-3.12515,-2.51147
84,-2.72515,11.28853
85,-2.72515,11.48853
86,-1.72515,12.28853
87,-0.92515,3.08853
88,-0.92515,13.08853
89,-0.72515,2.88853
90,-0.72515,3.08853
91,-0.52515,-7.31147
92,-0.52515,-7.11147
93,-0.52515,2.88853
94,0.87485,11.08853
95,1.07485,5.88853
96,1.07485,6.08853
97,1.07485,11.08853
98,2.07485,-13.51147
99,2.27485,-13.51147
100,3.07485,-8.51147
101,3.27485,-8.51147
102,3.67485,-6.31147
103,3.67485,5.28853
104,3.67485,11.28853
105,3.67485,11.48853
106,3.87485,-6.31147
107,3.87485,-4.11147
108,3.87485,5.28853
109,3.87485,8.28853
110,3.87485,8.48853
111,4.07485,-4.11147
112,4.27485,-0.51147
113,4.27485,-0.31147
114,4.47485,-2.31147
115,4.47485,-2.11147
116,4.67485,4.68853
117,4.67485,4.88853
118,4.67485,10.68853
119,4.67485,10.88853
120,4.87485,-8.91147
121,5.07485,-8.91147
122,5.47485,5.48853
123,5.47485,11.88853
124,5.67485,-12.91147
125,5.67485,-3.31147
126,5.67485,5.48853
127,5.87485,5.08853
128,5.87485,5.28853
129,5.87485,9.68853
130,6.07485,9.68853
131,6.27485,6.48853
132,6.27485,6.88853
133,6.47485,6.88853
134,6.67485,0.28853
135,6.87485,-9.11147
136,6.87485,-8.91147
137,6.87485,8.88853
138,7.07485,8.88853
139,7.87485,9.08853
140,8.07485,9.08853
141,8.47485,-7.11147
142,8.47485,-6.91147
143,8.47485,-5.51147
144,8.67485,-6.71147
145,8.67485,8.08853
146,8.87485,-6.71147
147,9.27485,11.08853
148,9.47485,11.08853
149,9.47485,11.68853
150,9.67485,-9.91147
151,9.87485,6.88853
152,10.07485,0.88853
153,10.07485,1.08853
154,10.07485,3.08853
155,10.07485,3.28853
156,10.67485,-4.51147
157,10.67485,-4.31147
158,10.87485,7.48853
159,11.07485,9.08853
160,11.27485,-6.51147
161,11.47485,-6.51147
162,11.47485,7.28853
163,11.67485,7.08853
164,11.67485,7.28853
165,12.47485,7.28853
166,12.87485,1.68853
167,12.87485,1.88853
168,12.87485,2.68853
169,12.87485,2.88853
