busStop_ID,busStop_X,busStop_Y
1,-6.89469,0.07911
2,-6.89469,1.07911
3,-5.89469,-3.92089
4,-5.89469,-2.92089
5,-5.89469,-1.92089
6,-5.89469,-0.92089
7,-5.89469,0.07911
8,-5.89469,1.07911
9,-5.89469,2.07911
10,-5.89469,3.07911
11,-4.89469,-3.92089
12,-4.89469,-2.92089
13,-4.89469,-1.92089
14,-4.89469,-0.92089
15,-4.89469,0.07911
16,-4.89469,1.07911
17,-4.89469,2.07911
18,-4.89469,3.07911
19,-4.89469,4.07911
20,-4.89469,5.07911
21,-3.89469,-5.92089
22,-3.89469,-4.92089
23,-3.89469,-3.92089
24,-3.89469,-2.92089
25,-3.89469,-1.92089
26,-3.89469,-0.92089
27,-3.89469,0.07911
28,-3.89469,1.07911
29,-3.89469,2.07911
30,-3.89469,3.07911
31,-3.89469,4.07911
32,-3.89469,5.07911
33,-2.89469,-5.92089
34,-2.89469,-4.92089
35,-2.89469,-3.92089
36,-2.89469,-2.92089
37,-2.89469,-1.92089
38,-2.89469,-0.92089
39,-2.89469,0.07911
40,-2.89469,1.07911
41,-2.89469,2.07911
42,-2.89469,3.07911
43,-2.89469,4.07911
44,-2.89469,5.07911
45,-2.89469,6.07911
46,-1.89469,-5.92089
47,-1.89469,-4.92089
48,-1.89469,-3.92089
49,-1.89469,-2.92089
50,-1.89469,-1.92089
51,-1.89469,-0.92089
52,-1.89469,0.07911
53,-1.89469,1.07911
54,-1.89469,2.07911
55,-1.89469,3.07911
56,-1.89469,4.07911
57,-1.89469,5.07911
58,-1.89469,6.07911
59,-0.89469,-6.92089
60,-0.89469,-5.92089
61,-0.89469,-4.92089
62,-0.89469,-3.92089
63,-0.89469,-2.92089
64,-0.89469,-1.92089
65,-0.89469,-0.92089
66,-0.89469,0.07911
67,-0.89469,1.07911
68,-0.89469,2.07911
69,-0.89469,3.07911
70,-0.89469,4.07911
71,-0.89469,5.07911
72,-0.89469,6.07911
73,0.10531,-6.92089
74,0.10531,-5.92089
75,0.10531,-4.92089
76,0.10531,-3.92089
77,0.10531,-2.92089
78,0.10531,-1.92089
79,0.10531,-0.92089
80,0.10531,1.07911
81,0.10531,2.07911
82,0.10531,3.07911
83,0.10531,4.07911
84,0.10531,5.07911
85,0.10531,6.07911
86,1.10531,-6.92089
87,1.10531,-5.92089
88,1.10531,-4.92089
89,1.10531,-3.92089
90,1.10531,-2.92089
91,1.10531,-1.92089
92,1.10531,-0.92089
93,1.10531,0.07911
94,1.10531,1.07911
95,1.10531,2.07911
96,1.10531,3.07911
97,1.10531,4.07911
98,1.10531,5.07911
99,1.10531,6.07911
100,2.10531,-5.92089
101,2.10531,-4.92089
102,2.10531,-3.92089
103,2.10531,-2.92089
104,2.10531,-1.92089
105,2.10531,-0.92089
106,2.10531,0.07911
107,2.10531,1.07911
108,2.10531,2.07911
109,2.10531,3.07911
110,2.10531,4.07911
111,2.10531,5.07911
112,2.10531,6.07911
113,3.10531,-5.92089
114,3.10531,-4.92089
115,3.10531,-3.92089
116,3.10531,-2.92089
117,3.10531,-1.92089
118,3.10531,-0.92089
119,3.10531,0.07911
120,3.10531,1.07911
121,3.10531,2.07911
122,3.10531,3.07911
123,3.10531,4.07911
124,3.10531,5.07911
125,3.10531,6.07911
126,4.10531,-4.92089
127,4.10531,-3.92089
128,4.10531,-2.92089
129,4.10531,-1.92089
130,4.10531,-0.92089
131,4.10531,0.07911
132,4.10531,1.07911
133,4.10531,2.07911
134,4.10531,3.07911
135,4.10531,4.07911
136,4.10531,5.07911
137,5.10531,-3.92089
138,5.10531,-2.92089
139,5.10531,-1.92089
140,5.10531,-0.92089
141,5.10531,0.07911
142,5.10531,1.07911
143,5.10531,2.07911
144,5.10531,3.07911
145,5.10531,4.07911
146,6.10531,-1.92089
147,6.10531,-0.92089
148,6.10531,0.07911
149,6.10531,1.07911
150,6.10531,2.07911
