busType,maxPax,maxKWH,minSOC,maxSOC,SOC,consumption
1,10,35.8,10,80,20,0.24
1,10,35.8,10,80,25,0.24
1,10,35.8,10,80,30,0.24
1,10,35.8,10,80,35,0.24
1,10,35.8,10,80,40,0.24
1,10,35.8,10,80,45,0.24
1,10,35.8,10,80,50,0.24
1,10,35.8,10,80,55,0.24
1,10,35.8,10,80,60,0.24
1,10,35.8,10,80,65,0.24
1,10,35.8,10,80,70,0.24
1,10,35.8,10,80,75,0.24
1,10,35.8,10,80,80,0.24
2,20,53.7,10,80,20,0.29
2,20,53.7,10,80,30,0.29
2,20,53.7,10,80,40,0.29
2,20,53.7,10,80,50,0.29
2,20,53.7,10,80,60,0.29
2,20,53.7,10,80,70,0.29
2,20,53.7,10,80,80,0.29
