passenger_ID,passenger_X,passenger_Y,passenger_StationID,passenger_DepartureTime
1,3.96147,3.74882,1,7
2,-4.84656,-3.05472,1,10
3,0.38107,2.52796,1,9
4,-4.30493,3.81366,1,2
5,-4.21172,-2.41941,1,2
6,-0.02671,2.35399,1,11
7,-0.85796,3.30352,1,12
8,-3.37357,-3.0539,1,7
9,-0.56362,5.8522,1,2
10,2.65811,-5.26777,1,11
11,2.73496,-0.2991,1,5
12,-0.73238,-5.87121,1,4
13,-3.26971,4.88502,1,10
14,-3.7281,-2.17547,1,1
15,4.21578,3.38919,1,1
16,2.20647,-1.47315,1,9
17,2.95363,-2.78577,1,8
18,2.37814,-5.24409,1,7
19,-0.36264,5.37173,1,10
20,-4.88068,-3.28813,1,10
21,4.88842,0.69612,1,11
22,-1.65761,0.84119,1,4
23,-2.13459,5.13338,1,10
24,3.06799,4.93556,1,8
25,2.1707,4.52166,1,6
26,-4.66767,2.45694,1,1
27,4.33806,2.91753,1,11
28,-3.20516,-2.28356,1,5
29,-4.85468,0.89689,1,8
30,-0.94383,-2.67147,1,10
31,-1.5815,-4.85571,1,2
32,-1.17512,-1.39407,1,2
33,3.32969,0.71366,1,8
34,1.77194,0.81763,1,7
35,-0.99574,2.12995,1,12
36,-5.37829,-1.05626,1,11
37,-2.8641,-4.18299,1,10
38,-3.00947,1.97363,1,1
39,2.49373,-5.30107,1,1
40,-0.36484,-1.81092,1,2
41,4.05022,-0.8083,1,11
42,-3.81429,-0.7608,1,13
43,-2.41031,4.71981,1,9
44,4.24846,3.32243,1,2
45,-2.24265,-1.87815,1,10
46,0.77997,-4.26277,1,2
47,-3.68624,1.92359,1,2
48,4.12812,2.64984,1,9
49,-0.52871,5.09034,1,5
50,2.99604,4.32948,1,9
51,-0.65835,3.33653,1,10
52,-4.6675,1.84511,1,8
53,-4.86394,-0.83765,1,10
54,-2.68281,0.7353,1,4
55,1.77418,-1.76591,1,10
56,-4.33884,-0.49425,1,13
57,5.52027,-2.04156,1,12
58,-2.40346,-2.82159,1,2
59,4.52597,-1.23224,1,5
60,0.18272,3.12574,1,5
61,-2.35223,-4.69812,1,9
62,-0.80075,3.1966,1,8
63,-2.07395,-3.87618,1,11
64,-1.71781,-4.78466,1,5
65,5.17396,2.35544,1,3
66,-0.17708,5.88173,1,2
67,0.73916,4.49134,1,11
68,-1.29937,-2.28915,1,3
69,1.50895,-2.23869,1,6
70,-1.84995,2.742,1,8
71,1.0547,-5.43248,1,3
72,-1.48805,-2.9356,1,9
73,5.44786,0.23,1,7
74,-2.59146,-1.93735,1,2
75,-4.39127,3.78542,1,11
76,3.23955,-1.88873,1,2
77,2.98071,0.02156,1,4
78,-3.18404,0.7655,1,4
79,-4.26802,2.1967,1,7
80,-4.14083,1.03781,1,2
81,0.47468,-3.72736,1,6
82,-2.42041,4.94288,1,2
83,1.01574,-4.5794,1,2
84,-4.48739,0.81642,1,11
85,5.61754,1.28397,1,4
86,3.37198,2.50434,1,8
87,-0.9308,-5.19029,1,13
88,-5.18912,0.87256,1,6
89,2.22924,3.18128,1,10
90,-2.5071,3.88953,1,10
91,-1.71259,-1.37008,1,6
92,0.72212,1.88397,1,9
