StationID,DepClockTime,ei,li,layer
1,2022-10-03 06:00,5,20,1
2,2022-10-03 06:20,15,30,2
1,2022-10-03 06:20,25,40,3
3,2022-10-03 06:30,25,40,4
2,2022-10-03 06:35,30,45,5
4,2022-10-03 06:40,35,50,6
3,2022-10-03 06:45,40,55,7
1,2022-10-03 06:40,45,60,8
2,2022-10-03 06:50,45,60,9
5,2022-10-03 06:50,45,60,10
4,2022-10-03 06:55,50,65,11
3,2022-10-03 07:00,55,70,12
6,2022-10-03 07:00,55,70,13
2,2022-10-03 07:05,60,75,14
5,2022-10-03 07:05,60,75,15
1,2022-10-03 07:00,65,80,16
4,2022-10-03 07:10,65,80,17
7,2022-10-03 07:10,65,80,18
3,2022-10-03 07:15,70,85,19
6,2022-10-03 07:15,70,85,20
2,2022-10-03 07:20,75,90,21
5,2022-10-03 07:20,75,90,22
8,2022-10-03 07:20,75,90,23
4,2022-10-03 07:25,80,95,24
7,2022-10-03 07:25,80,95,25
1,2022-10-03 07:20,85,100,26
3,2022-10-03 07:30,85,100,27
6,2022-10-03 07:30,85,100,28
9,2022-10-03 07:30,85,100,29
2,2022-10-03 07:35,90,105,30
5,2022-10-03 07:35,90,105,31
8,2022-10-03 07:35,90,105,32
4,2022-10-03 07:40,95,110,33
7,2022-10-03 07:40,95,110,34
10,2022-10-03 07:40,95,110,35
3,2022-10-03 07:45,100,115,36
6,2022-10-03 07:45,100,115,37
9,2022-10-03 07:45,100,115,38
1,2022-10-03 07:40,105,120,39
2,2022-10-03 07:50,105,120,40
5,2022-10-03 07:50,105,120,41
8,2022-10-03 07:50,105,120,42
4,2022-10-03 07:55,110,125,43
7,2022-10-03 07:55,110,125,44
10,2022-10-03 07:55,110,125,45
3,2022-10-03 08:00,115,130,46
6,2022-10-03 08:00,115,130,47
9,2022-10-03 08:00,115,130,48
2,2022-10-03 08:05,120,135,49
5,2022-10-03 08:05,120,135,50
8,2022-10-03 08:05,120,135,51
1,2022-10-03 08:00,125,140,52
4,2022-10-03 08:10,125,140,53
7,2022-10-03 08:10,125,140,54
10,2022-10-03 08:10,125,140,55
3,2022-10-03 08:15,130,145,56
6,2022-10-03 08:15,130,145,57
9,2022-10-03 08:15,130,145,58
2,2022-10-03 08:20,135,150,59
5,2022-10-03 08:20,135,150,60
8,2022-10-03 08:20,135,150,61
4,2022-10-03 08:25,140,155,62
7,2022-10-03 08:25,140,155,63
10,2022-10-03 08:25,140,155,64
1,2022-10-03 08:20,145,160,65
3,2022-10-03 08:30,145,160,66
6,2022-10-03 08:30,145,160,67
9,2022-10-03 08:30,145,160,68
2,2022-10-03 08:35,150,165,69
5,2022-10-03 08:35,150,165,70
8,2022-10-03 08:35,150,165,71
4,2022-10-03 08:40,155,170,72
7,2022-10-03 08:40,155,170,73
10,2022-10-03 08:40,155,170,74
3,2022-10-03 08:45,160,175,75
6,2022-10-03 08:45,160,175,76
9,2022-10-03 08:45,160,175,77
1,2022-10-03 08:40,165,180,78
2,2022-10-03 08:50,165,180,79
5,2022-10-03 08:50,165,180,80
8,2022-10-03 08:50,165,180,81
4,2022-10-03 08:55,170,185,82
7,2022-10-03 08:55,170,185,83
10,2022-10-03 08:55,170,185,84
3,2022-10-03 09:00,175,190,85
6,2022-10-03 09:00,175,190,86
9,2022-10-03 09:00,175,190,87
2,2022-10-03 09:05,180,195,88
5,2022-10-03 09:05,180,195,89
8,2022-10-03 09:05,180,195,90
1,2022-10-03 09:00,185,200,91
4,2022-10-03 09:10,185,200,92
7,2022-10-03 09:10,185,200,93
10,2022-10-03 09:10,185,200,94
3,2022-10-03 09:15,190,205,95
6,2022-10-03 09:15,190,205,96
9,2022-10-03 09:15,190,205,97
2,2022-10-03 09:20,195,210,98
5,2022-10-03 09:20,195,210,99
8,2022-10-03 09:20,195,210,100
4,2022-10-03 09:25,200,215,101
7,2022-10-03 09:25,200,215,102
10,2022-10-03 09:25,200,215,103
1,2022-10-03 09:20,205,220,104
3,2022-10-03 09:30,205,220,105
6,2022-10-03 09:30,205,220,106
9,2022-10-03 09:30,205,220,107
2,2022-10-03 09:35,210,225,108
5,2022-10-03 09:35,210,225,109
8,2022-10-03 09:35,210,225,110
4,2022-10-03 09:40,215,230,111
7,2022-10-03 09:40,215,230,112
10,2022-10-03 09:40,215,230,113
3,2022-10-03 09:45,220,235,114
6,2022-10-03 09:45,220,235,115
9,2022-10-03 09:45,220,235,116
1,2022-10-03 09:40,225,240,117
2,2022-10-03 09:50,225,240,118
5,2022-10-03 09:50,225,240,119
8,2022-10-03 09:50,225,240,120
4,2022-10-03 09:55,230,245,121
7,2022-10-03 09:55,230,245,122
10,2022-10-03 09:55,230,245,123
3,2022-10-03 10:00,235,250,124
6,2022-10-03 10:00,235,250,125
9,2022-10-03 10:00,235,250,126
1,2022-10-03 10:00,245,260,127
