id,v_type,x,y,lyr,ei,li,chg_power,set_physical,s_t,Li
1,bus stop,-18.54118,1.2329,1,210.91784499055726,237.11189666037149,0.0,1.0,0.5,33.58215500944275
2,bus stop,-17.14118,5.4329,1,212.00320712239966,237.8354714149331,0.0,2.0,0.5,32.49679287760034
3,bus stop,-17.14118,6.8329,1,211.15143177881603,237.26762118587735,0.0,3.0,0.5,33.34856822118397
4,bus stop,-15.74118,-0.1671,1,216.0504815107124,240.53365434047492,0.0,4.0,0.5,28.449518489287623
5,bus stop,-12.94118,-8.5671,1,216.45186881668977,240.80124587779318,0.0,5.0,0.5,28.048131183310225
6,bus stop,-12.94118,-7.1671,1,217.76513652759598,241.676757685064,0.0,6.0,0.5,26.734863472404015
7,bus stop,-10.14118,-14.1671,1,213.0132042376187,238.50880282507913,0.0,7.0,0.5,31.486795762381306
8,bus stop,-10.14118,-2.9671,1,225.4042327660663,246.76948851071086,0.0,8.0,0.5,19.09576723393372
9,bus stop,-10.14118,4.0329,1,224.77653135231284,246.3510209015419,0.0,9.0,0.5,19.723468647687163
10,bus stop,-10.14118,9.6329,1,219.22228106806708,242.64818737871138,0.0,10.0,0.5,25.277718931932917
11,bus stop,-10.14118,15.2329,1,211.42796888297386,237.4519792553159,0.0,11.0,0.5,33.07203111702614
12,bus stop,-8.74118,-14.1671,1,214.41547597040804,239.4436506469387,0.0,12.0,0.5,30.08452402959195
13,bus stop,-8.74118,-9.9671,1,220.54134397827076,243.5275626521805,0.0,13.0,0.5,23.958656021729233
14,bus stop,-8.74118,-2.9671,1,227.8174161186656,248.37827741244374,0.0,14.0,0.5,16.68258388133441
15,bus stop,-8.74118,4.0329,1,227.10242849701487,247.9016189980099,0.0,15.0,0.5,17.39757150298514
16,bus stop,-7.34118,-16.9671,1,211.08945417323815,237.22630278215877,0.0,16.0,0.5,33.410545826761854
17,bus stop,-7.34118,-15.5671,1,213.39531034366013,238.76354022910675,0.0,17.0,0.5,31.10468965633986
18,bus stop,-7.34118,-9.9671,1,222.12857857938246,244.58571905292163,0.0,18.0,0.5,22.371421420617533
19,bus stop,-7.34118,16.6329,1,211.64289408456162,237.59526272304106,0.0,19.0,0.5,32.85710591543839
20,bus stop,-4.54118,-16.9671,1,212.7572807342657,238.33818715617713,0.0,20.0,0.5,31.7427192657343
21,bus stop,-4.54118,-15.5671,1,215.19407274017283,239.9627151601152,0.0,21.0,0.5,29.305927259827175
22,bus stop,-4.54118,-0.1671,1,236.2874940067471,254.02499600449806,0.0,22.0,0.5,8.212505993252893
23,bus stop,-3.14118,-7.1671,1,230.35800541057452,250.07200360704968,0.0,23.0,0.5,14.141994589425469
24,bus stop,-3.14118,-0.1671,1,238.81514198779269,255.71009465852848,0.0,24.0,0.5,5.68485801220732
25,bus stop,-1.74118,-7.1671,1,231.17065694780038,250.61377129853358,0.0,25.0,0.5,13.32934305219963
26,bus stop,-1.74118,-5.7671,1,233.6128668823576,252.24191125490506,0.0,26.0,0.5,10.887133117642394
27,bus stop,-1.74118,12.4329,1,221.8116311402827,244.37442076018849,0.0,27.0,0.5,22.688368859717276
28,bus stop,-0.34118,-16.9671,1,213.83036759120074,239.05357839413384,0.0,28.0,0.5,30.669632408799252
29,bus stop,-0.34118,-15.5671,1,216.35993073452144,240.73995382301428,0.0,29.0,0.5,28.140069265478566
30,bus stop,-0.34118,-7.1671,1,231.5327419727513,250.85516131516752,0.0,30.0,0.5,12.967258027248707
31,bus stop,-0.34118,11.0329,1,224.55149269346836,246.20099512897892,0.0,31.0,0.5,19.94850730653163
32,bus stop,-0.34118,12.4329,1,222.02244506053623,244.51496337369082,0.0,32.0,0.5,22.477554939463765
33,bus stop,1.05882,-18.3671,1,211.25133628143664,237.33422418762441,0.0,33.0,0.5,33.248663718563364
34,bus stop,1.05882,-7.1671,1,231.40682641246173,250.7712176083078,0.0,34.0,0.5,13.093173587538272
35,bus stop,2.45882,-18.3671,1,211.0103288725551,237.1735525817034,0.0,35.0,0.5,33.48967112744489
36,bus stop,2.45882,2.6329,1,237.98946988310774,255.1596465887385,0.0,36.0,0.5,6.510530116892268
37,bus stop,2.45882,4.0329,1,235.96381707881176,253.8092113858745,0.0,37.0,0.5,8.536182921188257
38,bus stop,2.45882,6.8329,1,231.37619301786037,250.75079534524025,0.0,38.0,0.5,13.123806982139612
39,bus stop,2.45882,16.6329,1,214.11386770598273,239.24257847065516,0.0,39.0,0.5,30.386132294017273
40,bus stop,3.85882,-1.5671,1,236.9730935094707,254.48206233964711,0.0,40.0,0.5,7.526906490529314
41,bus stop,3.85882,-0.1671,1,237.5196934265194,254.84646228434627,0.0,41.0,0.5,6.980306573480599
42,bus stop,3.85882,6.8329,1,230.31825955092603,250.04550636728402,0.0,42.0,0.5,14.181740449073965
43,bus stop,5.25882,-18.3671,1,209.9726775371816,236.48178502478774,0.0,43.0,0.5,34.527322462818404
44,bus stop,5.25882,-16.9671,1,212.3975059641721,238.09833730944806,0.0,44.0,0.5,32.1024940358279
45,bus stop,5.25882,1.2329,1,234.73841562679985,252.99227708453324,0.0,45.0,0.5,9.761584373200144
46,bus stop,6.65882,1.2329,1,232.2614534952949,251.34096899686324,0.0,46.0,0.5,12.23854650470512
47,bus stop,8.05882,-16.9671,1,210.55356977866518,236.8690465191101,0.0,47.0,0.5,33.946430221334836
48,bus stop,8.05882,-15.5671,1,212.82039661001076,238.38026440667386,0.0,48.0,0.5,31.679603389989232
49,bus stop,9.45882,15.2329,1,212.09509449270286,237.8967296618019,0.0,49.0,0.5,32.40490550729713
50,bus stop,9.45882,16.6329,1,209.9198830083942,236.4465886722628,0.0,50.0,0.5,34.58011699160578
51,bus stop,10.85882,9.6329,1,218.2667332929302,242.01115552862015,0.0,51.0,0.5,26.233266707069784
52,bus stop,10.85882,11.0329,1,216.52360289250987,240.84906859500657,0.0,52.0,0.5,27.97639710749013
53,bus stop,12.25882,-9.9671,1,215.94682687192014,240.46455124794676,0.0,53.0,0.5,28.553173128079862
54,bus stop,13.65882,-4.3671,1,218.5843798078182,242.22291987187882,0.0,54.0,0.5,25.915620192181787
