busType,maxPax,maxKWH,minSOC,maxSOC,SOC,consumption
1,20,35.8,10,80,20,0.24
1,20,35.8,10,80,20.6060606060606,0.24
1,20,35.8,10,80,21.2121212121212,0.24
1,20,35.8,10,80,21.8181818181818,0.24
1,20,35.8,10,80,22.4242424242424,0.24
1,20,35.8,10,80,23.030303030303,0.24
1,20,35.8,10,80,23.6363636363636,0.24
1,20,35.8,10,80,24.2424242424242,0.24
1,20,35.8,10,80,24.8484848484848,0.24
1,20,35.8,10,80,25.4545454545455,0.24
1,20,35.8,10,80,26.0606060606061,0.24
1,20,35.8,10,80,26.6666666666667,0.24
1,20,35.8,10,80,27.2727272727273,0.24
1,20,35.8,10,80,27.8787878787879,0.24
1,20,35.8,10,80,28.4848484848485,0.24
1,20,35.8,10,80,29.0909090909091,0.24
1,20,35.8,10,80,29.6969696969697,0.24
1,20,35.8,10,80,30.3030303030303,0.24
1,20,35.8,10,80,30.9090909090909,0.24
1,20,35.8,10,80,31.5151515151515,0.24
1,20,35.8,10,80,32.1212121212121,0.24
1,20,35.8,10,80,32.7272727272727,0.24
1,20,35.8,10,80,33.3333333333333,0.24
1,20,35.8,10,80,33.9393939393939,0.24
1,20,35.8,10,80,34.5454545454545,0.24
1,20,35.8,10,80,35.1515151515152,0.24
1,20,35.8,10,80,35.7575757575758,0.24
1,20,35.8,10,80,36.3636363636364,0.24
1,20,35.8,10,80,36.969696969697,0.24
1,20,35.8,10,80,37.5757575757576,0.24
1,20,35.8,10,80,38.1818181818182,0.24
1,20,35.8,10,80,38.7878787878788,0.24
1,20,35.8,10,80,39.3939393939394,0.24
1,20,35.8,10,80,40,0.24
1,20,35.8,10,80,40.6060606060606,0.24
1,20,35.8,10,80,41.2121212121212,0.24
1,20,35.8,10,80,41.8181818181818,0.24
1,20,35.8,10,80,42.4242424242424,0.24
1,20,35.8,10,80,43.030303030303,0.24
1,20,35.8,10,80,43.6363636363636,0.24
1,20,35.8,10,80,44.2424242424242,0.24
1,20,35.8,10,80,44.8484848484848,0.24
1,20,35.8,10,80,45.4545454545455,0.24
1,20,35.8,10,80,46.0606060606061,0.24
1,20,35.8,10,80,46.6666666666667,0.24
1,20,35.8,10,80,47.2727272727273,0.24
1,20,35.8,10,80,47.8787878787879,0.24
1,20,35.8,10,80,48.4848484848485,0.24
1,20,35.8,10,80,49.0909090909091,0.24
1,20,35.8,10,80,49.6969696969697,0.24
1,20,35.8,10,80,50.3030303030303,0.24
1,20,35.8,10,80,50.9090909090909,0.24
1,20,35.8,10,80,51.5151515151515,0.24
1,20,35.8,10,80,52.1212121212121,0.24
1,20,35.8,10,80,52.7272727272727,0.24
1,20,35.8,10,80,53.3333333333333,0.24
1,20,35.8,10,80,53.9393939393939,0.24
1,20,35.8,10,80,54.5454545454545,0.24
1,20,35.8,10,80,55.1515151515151,0.24
1,20,35.8,10,80,55.7575757575758,0.24
1,20,35.8,10,80,56.3636363636364,0.24
1,20,35.8,10,80,56.969696969697,0.24
1,20,35.8,10,80,57.5757575757576,0.24
1,20,35.8,10,80,58.1818181818182,0.24
1,20,35.8,10,80,58.7878787878788,0.24
1,20,35.8,10,80,59.3939393939394,0.24
1,20,35.8,10,80,60,0.24
1,20,35.8,10,80,60.6060606060606,0.24
1,20,35.8,10,80,61.2121212121212,0.24
1,20,35.8,10,80,61.8181818181818,0.24
1,20,35.8,10,80,62.4242424242424,0.24
1,20,35.8,10,80,63.030303030303,0.24
1,20,35.8,10,80,63.6363636363636,0.24
1,20,35.8,10,80,64.2424242424242,0.24
1,20,35.8,10,80,64.8484848484848,0.24
1,20,35.8,10,80,65.4545454545455,0.24
1,20,35.8,10,80,66.0606060606061,0.24
1,20,35.8,10,80,66.6666666666667,0.24
1,20,35.8,10,80,67.2727272727273,0.24
1,20,35.8,10,80,67.8787878787879,0.24
1,20,35.8,10,80,68.4848484848485,0.24
1,20,35.8,10,80,69.0909090909091,0.24
1,20,35.8,10,80,69.6969696969697,0.24
1,20,35.8,10,80,70.3030303030303,0.24
1,20,35.8,10,80,70.9090909090909,0.24
1,20,35.8,10,80,71.5151515151515,0.24
1,20,35.8,10,80,72.1212121212121,0.24
1,20,35.8,10,80,72.7272727272727,0.24
1,20,35.8,10,80,73.3333333333333,0.24
1,20,35.8,10,80,73.9393939393939,0.24
1,20,35.8,10,80,74.5454545454545,0.24
1,20,35.8,10,80,75.1515151515152,0.24
1,20,35.8,10,80,75.7575757575758,0.24
1,20,35.8,10,80,76.3636363636364,0.24
1,20,35.8,10,80,76.969696969697,0.24
1,20,35.8,10,80,77.5757575757576,0.24
1,20,35.8,10,80,78.1818181818182,0.24
1,20,35.8,10,80,78.7878787878788,0.24
1,20,35.8,10,80,79.3939393939394,0.24
1,20,35.8,10,80,80,0.24
