node,type_node,x,y,t_arr,t_begin_service,t_wait,t_departure,ride_time,num_passenger,qi,ei,li,service_or_chg_time,Li,lyr,cus_set
177,depot,-0.16114,1.48056,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1256.5314245098868,0.0,0.0,1,Int64[]
165,bus stop,19.83311,-7.09645,26.212369320956146,206.4316825034108,0.0,206.9316825034108,38.0683174965892,1,1,206.4316825034108,234.12112166894053,0.5,38.068317496589216,1,[204]
172,bus stop,21.23311,-9.89645,210.70336342931407,212.56377822203717,0.0,213.06377822203717,31.936221777962828,2,1,202.16357743079186,231.27571828719456,0.5,42.33642256920815,1,[295]
164,bus stop,19.83311,-11.29645,215.4491986886906,215.4491986886906,0.0,215.9491986886906,30.91121610403252,3,1,203.25073596740154,232.00049064493436,0.5,41.249264032598454,1,[272]
153,bus stop,17.03311,-11.29645,219.3226926645942,219.3226926645942,0.0,219.8226926645942,27.037722128128905,5,2,207.5627600795328,234.87517338635521,0.5,36.937239920467185,1,"[203, 208]"
144,bus stop,15.63311,-9.89645,222.20811313124761,222.20811313124761,0.0,222.70811313124761,24.15230166147549,6,1,211.06216969687142,237.20811313124761,0.5,33.43783030312859,1,[182]
175,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,5,-1,245.0,260.0,0.0,42.33642256920815,1,Int64[]
175,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,4,-1,245.0,260.0,0.0,38.068317496589216,1,Int64[]
175,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,3,-1,245.0,260.0,0.0,33.43783030312859,1,Int64[]
175,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,1,-2,245.0,260.0,0.0,36.937239920467185,1,Int64[]
175,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,0,-1,245.0,260.0,0.0,41.249264032598454,1,Int64[]
177,depot,-0.16114,1.48056,246.79434120144978,246.79434120144978,0.0,246.79434120144978,0.0,0,0,0.0,1256.5314245098868,0.0,0.0,1,Int64[]
