busStop_ID,busStop_X,busStop_Y
1,-39.0437,3.33337
2,-37.6437,-12.06663
3,-37.6437,-5.06663
4,-36.2437,-5.06663
5,-36.2437,-2.26663
6,-34.8437,-10.66663
7,-34.8437,15.93337
8,-33.4437,18.73337
9,-33.4437,20.13337
10,-32.0437,1.93337
11,-30.6437,8.93337
12,-30.6437,10.33337
13,-30.6437,21.53337
14,-30.6437,22.93337
15,-29.2437,21.53337
16,-27.8437,11.73337
17,-27.8437,18.73337
18,-27.8437,25.73337
19,-27.8437,27.13337
20,-26.4437,-26.06663
21,-26.4437,-24.66663
22,-26.4437,-16.26663
23,-26.4437,-2.26663
24,-26.4437,1.93337
25,-26.4437,11.73337
26,-25.0437,-24.66663
27,-25.0437,-19.06663
28,-25.0437,-16.26663
29,-25.0437,-2.26663
30,-25.0437,0.53337
31,-25.0437,1.93337
32,-23.6437,-24.66663
33,-23.6437,-16.26663
34,-22.2437,-12.06663
35,-22.2437,-10.66663
36,-22.2437,-7.86663
37,-22.2437,-6.46663
38,-22.2437,8.93337
39,-20.8437,-28.86663
40,-20.8437,-27.46663
41,-20.8437,-0.86663
42,-20.8437,3.33337
43,-20.8437,4.73337
44,-20.8437,8.93337
45,-19.4437,-26.06663
46,-19.4437,-0.86663
47,-19.4437,11.73337
48,-18.0437,-3.66663
49,-18.0437,11.73337
50,-16.6437,-3.66663
51,-15.2437,-5.06663
52,-13.8437,-7.86663
53,-13.8437,4.73337
54,-13.8437,6.13337
55,-13.8437,32.73337
56,-12.4437,-16.26663
57,-12.4437,-14.86663
58,-12.4437,-6.46663
59,-12.4437,6.13337
60,-12.4437,13.13337
61,-12.4437,14.53337
62,-12.4437,15.93337
63,-12.4437,32.73337
64,-12.4437,35.53337
65,-12.4437,36.93337
66,-11.0437,-6.46663
67,-11.0437,4.73337
68,-11.0437,13.13337
69,-11.0437,14.53337
70,-11.0437,15.93337
71,-11.0437,24.33337
72,-9.6437,-21.86663
73,-9.6437,4.73337
74,-9.6437,7.53337
75,-9.6437,8.93337
76,-9.6437,11.73337
77,-9.6437,32.73337
78,-8.2437,-21.86663
79,-8.2437,11.73337
80,-8.2437,14.53337
81,-5.4437,-20.46663
82,-5.4437,4.73337
83,-5.4437,6.13337
84,-5.4437,14.53337
85,-4.0437,13.13337
86,-2.6437,-21.86663
87,-2.6437,-20.46663
88,-2.6437,0.53337
89,-2.6437,21.53337
90,-2.6437,35.53337
91,-2.6437,38.33337
92,-1.2437,-28.86663
93,-1.2437,-27.46663
94,-1.2437,-12.06663
95,-1.2437,-10.66663
96,-1.2437,15.93337
97,-1.2437,21.53337
98,-1.2437,35.53337
99,1.5563,-9.26663
100,1.5563,-7.86663
101,1.5563,8.93337
102,1.5563,11.73337
103,1.5563,35.53337
104,1.5563,36.93337
105,2.9563,6.13337
106,2.9563,7.53337
107,2.9563,35.53337
108,2.9563,36.93337
109,2.9563,38.33337
110,2.9563,39.73337
111,4.3563,-20.46663
112,4.3563,-19.06663
113,4.3563,-13.46663
114,4.3563,-0.86663
115,4.3563,11.73337
116,4.3563,29.93337
117,4.3563,34.13337
118,4.3563,35.53337
119,5.7563,-37.26663
120,5.7563,8.93337
121,5.7563,10.33337
122,5.7563,11.73337
123,5.7563,31.33337
124,5.7563,32.73337
125,7.1563,-3.66663
126,7.1563,-2.26663
127,7.1563,28.53337
128,8.5563,-21.86663
129,8.5563,-19.06663
130,8.5563,-17.66663
131,8.5563,22.93337
132,8.5563,28.53337
133,9.9563,-34.46663
134,11.3563,-34.46663
135,11.3563,-24.66663
136,11.3563,27.13337
137,12.7563,-24.66663
138,12.7563,10.33337
139,12.7563,27.13337
140,12.7563,28.53337
141,14.1563,35.53337
142,14.1563,36.93337
143,15.5563,13.13337
144,16.9563,-21.86663
145,16.9563,13.13337
146,16.9563,29.93337
147,18.3563,13.13337
148,18.3563,22.93337
149,18.3563,24.33337
150,19.7563,-28.86663
151,19.7563,-19.06663
152,22.5563,-16.26663
153,22.5563,-14.86663
154,22.5563,22.93337
155,23.9563,22.93337
156,23.9563,29.93337
157,23.9563,31.33337
158,25.3563,-7.86663
159,25.3563,-6.46663
160,25.3563,13.13337
161,25.3563,14.53337
162,25.3563,22.93337
163,25.3563,29.93337
164,26.7563,-28.86663
165,26.7563,-20.46663
166,26.7563,-19.06663
167,26.7563,-17.66663
168,26.7563,-16.26663
169,26.7563,1.93337
170,26.7563,3.33337
171,26.7563,28.53337
172,28.1563,-20.46663
173,28.1563,-19.06663
174,28.1563,4.73337
175,29.5563,-14.86663
176,29.5563,-12.06663
177,29.5563,4.73337
178,30.9563,-14.86663
179,30.9563,8.93337
180,30.9563,10.33337
181,30.9563,15.93337
182,32.3563,-12.06663
183,32.3563,13.13337
184,32.3563,15.93337
185,32.3563,18.73337
186,32.3563,20.13337
187,33.7563,-17.66663
188,33.7563,-7.86663
189,35.1563,-17.66663
190,35.1563,-7.86663
191,36.5563,-17.66663
