passenger_ID,passenger_X,passenger_Y,passenger_StationID,passenger_DepartureTime,DistanceFromStation
1,-2.41605,1.38278,1,13,2.78377170097585
2,2.75246,0.88773,1,13,2.89207461440061
3,-0.67513,-1.4821,1,13,1.6286274454775
4,2.7281,-0.9863,1,13,2.90091141349376
5,-2.54892,0.14648,1,13,2.55312062230156
6,-1.70152,0.11507,1,13,1.70540251370344
7,-1.06421,1.73128,1,13,2.03220643079205
8,1.97247,-1.43206,1,13,2.4375090265748
9,-2.01045,2.16131,1,13,2.95180811354355
10,2.26658,1.90411,1,13,2.96023607379464
11,0.34394,-1.78762,1,13,1.82040882807227
12,-2.2828,1.89481,1,13,2.96673242421425
13,0.15401,2.9474,1,13,2.9514194721591
14,-1.93523,1.33461,1,13,2.35080531496744
15,2.27357,1.57568,1,13,2.76620555364192
16,1.20975,1.32069,1,13,1.79101445715374
17,2.10962,-0.80398,1,13,2.25762899027439
18,2.79407,-0.7902,1,13,2.9036554194715
19,-2.45427,-1.25457,1,13,2.75633805519697
20,2.74814,1.08366,1,13,2.9540775003632
21,0.24672,2.57204,1,13,2.5838439812239
22,-0.95286,1.25822,1,13,1.57830726741525
23,1.22205,-2.5472,1,13,2.82517659883665
24,2.91111,0.28263,1,13,2.92479989441388
25,2.51879,0.69798,1,13,2.61370661997286
26,1.32245,2.36978,1,13,2.71380652984028
27,-1.59652,-2.17193,1,13,2.69557863173071
28,-0.25359,-2.19846,1,13,2.21303691380321
29,-1.54799,-2.06838,1,13,2.58350067905904
30,-1.75836,0.56006,1,13,1.84540243381438
31,-2.53404,-0.77102,1,13,2.64873764161956
32,-0.45051,1.50397,1,13,1.56999099139058
33,-0.06767,-2.02846,1,13,2.02958866484961
34,0.59895,1.48422,1,13,1.60051769336059
35,-0.65948,-1.57185,1,13,1.70459365343825
36,1.43482,0.69116,1,13,1.59261111955493
37,1.97212,1.37182,1,13,2.40231897062691
38,-1.47585,-1.48737,1,13,2.09533326476024
39,0.55568,-2.89054,1,13,2.94346714431449
40,1.3753,0.7688,1,13,1.57559863017033
41,2.06184,-0.97996,1,13,2.28287634962577
42,0.35335,-2.1681,1,13,2.19670653146428
43,-2.71409,0.22576,1,13,2.72346072488769
44,-2.53888,1.08245,1,13,2.75999987910782
45,-1.77009,0.61495,1,13,1.87387034790085
46,-0.81721,2.2109,1,13,2.35709772210881
47,-2.28969,-0.12253,1,13,2.29296900432574
48,-2.56561,-0.17391,1,13,2.57150011049019
49,1.09367,-2.41704,1,13,2.65296298660422
50,0.75331,-2.6032,1,13,2.71000647663081
51,-1.24989,-1.59717,1,13,2.02809498538417
52,-1.89051,1.80665,1,13,2.61495565330701
53,0.97467,-2.39206,1,13,2.58300436058932
54,-1.79087,-0.37469,1,13,1.82965275737331
55,-1.03351,1.40893,1,13,1.74735066615692
56,2.19748,-0.88603,1,13,2.36937910661833
57,2.10139,-2.07664,1,13,2.95436485898129
58,-2.02749,-0.66097,1,13,2.13251111485882
59,1.14802,-2.54058,1,13,2.78792086303619
60,-1.65638,-1.00853,1,13,1.9392603207319
61,0.71,2.61093,1,13,2.70574438007606
62,-0.63068,1.89054,1,13,1.99296061911671
63,-2.34056,0.43243,1,13,2.38017018272638
64,0.32283,2.62003,1,13,2.63984239641927
65,1.60545,-2.38456,1,13,2.87464727481767
66,1.0047,2.77773,1,13,2.9538478498624
67,0.36743,2.41012,1,13,2.43797145743253
68,0.85289,1.56789,1,13,1.78485713408485
69,0.25247,1.78717,1,13,1.80491953768683
70,-1.83626,0.78507,1,13,1.997042992861
71,-1.05441,2.61018,1,13,2.8151094966075
72,1.76522,-0.92218,1,13,1.99158346750967
73,-2.51989,1.18176,1,13,2.78323958292572
74,0.78577,1.81007,1,13,1.97326975826765
75,2.4133,-1.64272,1,13,2.91933716047218
76,2.13028,-0.27254,1,13,2.14764764810186
77,-1.7535,0.7087,1,13,1.89130059493742
78,1.52142,1.27675,1,13,1.98615609692144
79,-0.12822,2.52821,1,13,2.53146233706722
80,-1.96002,1.2661,1,13,2.33338803675973
81,-1.77924,-1.20747,1,13,2.1502794406019
82,1.57094,2.15838,1,13,2.66954438968079
83,-1.98806,-1.49939,1,13,2.49008686902302
84,-0.58908,-2.36931,1,13,2.44144104085378
85,0.51305,2.85969,1,13,2.90534976050238
86,1.51278,1.3751,1,13,2.04436136165736
87,-0.78433,2.59729,1,13,2.71313500336739
88,-1.13451,2.45979,1,13,2.70881364925309
89,-1.95051,1.00673,1,13,2.19499646174741
90,-2.46333,-0.12173,1,13,2.46633251507076
91,1.42775,0.85062,1,13,1.66193154328049
92,-0.12668,1.61187,1,13,1.61683743802511
93,0.76095,-2.29213,1,13,2.41513632799694
94,2.69427,0.50029,1,13,2.74032457989716
95,2.63742,-1.26435,1,13,2.92482001472689
96,-0.21798,-1.75481,1,13,1.76829491522135
97,-2.46139,0.17647,1,13,2.46770332716218
98,-2.05012,-1.10245,1,13,2.32774286104434
99,0.12184,1.52167,1,13,1.52654478124075
100,-2.05663,0.54394,1,13,2.12734055799546
101,1.7799,-0.42036,1,13,1.82886045949503
102,-2.64043,-0.79971,1,13,2.75888032535237
103,-2.06747,-0.27619,1,13,2.0858335345378
104,0.27831,2.39586,1,13,2.41196987225524
105,-1.83078,0.12792,1,13,1.83524628432358
106,-1.78717,-1.76618,1,13,2.51264364852262
107,-0.86407,-1.81065,1,13,2.00625426370786
108,-2.04503,1.57571,1,13,2.58167269705481
109,-1.76737,1.94387,1,13,2.62720343639297
110,2.69416,-0.20383,1,13,2.70185552011207
111,2.23589,0.54034,1,13,2.30025124494953
112,1.25988,-1.10837,1,13,1.67803286662666
113,1.66615,-1.00972,1,13,1.94822856432158
114,0.83001,-2.77959,1,13,2.90086662742986
115,1.47343,1.0524,1,13,1.81067711866093
116,-0.20845,2.78941,1,13,2.79718869546808
117,-1.23944,2.08509,1,13,2.42565690855186
118,-1.28012,-2.70836,1,13,2.99564840013502
119,1.08992,1.26086,1,13,1.66663877882521
120,-0.41151,-2.25139,1,13,2.28868484527343
121,1.34993,1.07126,1,13,1.72334157923464
122,-1.68103,-2.43248,1,13,2.95682465590566
123,-1.50938,0.05528,1,13,1.51039101324953
124,0.49649,-2.68964,1,13,2.73507689778599
125,-0.60731,-2.71992,1,13,2.78689733205417
126,2.34295,-1.61996,1,13,2.84845383694447
127,1.30008,-1.06289,1,13,1.67926828029313
128,-1.12229,1.92067,1,13,2.22452981131239
129,-0.63333,-1.89816,1,13,2.0010310390501
130,0.89084,2.61856,1,13,2.76594689781168
131,2.23031,0.43332,1,13,2.27201305792439
132,-0.10787,-2.89573,1,13,2.89773554045211
133,-2.57124,-0.30179,1,13,2.58888691470506
134,-1.9917,0.2526,1,13,2.00765278036901
135,1.48523,-1.01315,1,13,1.79788434488897
136,-1.37248,-1.13348,1,13,1.78001763229567
137,-2.10532,-1.91972,1,13,2.84916170154848
138,1.57572,-1.91836,1,13,2.48254022418925
139,0.83413,-2.29473,1,13,2.44162985777846
140,-1.59203,-0.83299,1,13,1.79678737974479
141,1.15767,2.5822,1,13,2.82983392527243
142,0.16054,2.53438,1,13,2.53946296242418
143,1.62554,-1.40589,1,13,2.14916927463214
144,2.3518,0.42836,1,13,2.39048831708139
145,-2.22312,0.14125,1,13,2.22760055392021
146,0.81965,1.44601,1,13,1.66215979042726
147,1.94947,-0.26271,1,13,1.96708770432007
148,-0.40777,-1.70767,1,13,1.75567730808864
149,-1.86851,-0.00554,1,13,1.86852283125102
150,-1.93478,0.35538,1,13,1.9671501082119
