node,type_node,x,y,t_arr,t_begin_service,t_wait,t_departure,ride_time,num_passenger,qi,ei,li,service_or_chg_time,Li,layer,cus_set
230,depot,-1.7533,0.22958,0.0,0.0,0.0,102.35125412453755,0.0,0,0,0.0,1256.585572009445,0.0,0.0,2,Int64[]
381,dummy charger,0.0,0.0,104.48169618525513,104.48169618525513,0.0,105.67585259578647,0.0,0,0,104.48169618525513,1256.585572009445,1.1941564105313347,1256.585572009445,0,Int64[]
226,bus stop,37.91542,3.70799,151.57501222556448,175.651260555333,0.0,176.151260555333,68.84873944466699,1,1,175.651260555333,213.600840370222,0.5,68.848739444667,1,[254]
220,bus stop,35.11542,6.50799,180.92210148863984,180.92210148863984,0.0,181.42210148863984,63.57789851136016,2,1,179.95771802766473,216.47181201844313,0.5,64.54228197233527,1,[324]
223,bus stop,36.51542,12.10799,188.37673748365756,188.37673748365756,0.0,188.87673748365756,56.123262516342436,3,1,174.97500118930512,213.1500007928701,0.5,69.52499881069488,1,[232]
224,bus stop,36.51542,13.50799,190.56348447160937,190.56348447160937,0.0,191.06348447160937,53.93651552839063,4,1,174.13768974230175,212.5917931615345,0.5,70.36231025769824,1,[250]
212,bus stop,30.91542,9.30799,199.4972194113684,199.4972194113684,0.0,199.9972194113684,45.002780588631595,5,1,186.15135730933804,220.60090487289204,0.5,58.348642690661954,1,[255]
208,bus stop,28.11542,5.10799,206.0788721651631,206.0788721651631,0.0,206.5788721651631,38.42112783483691,6,1,192.85723909244751,225.07149272829835,0.5,51.642760907552486,1,[374]
202,bus stop,25.31542,6.50799,210.35055309106636,213.0077566221581,0.0,213.5077566221581,31.492243377841902,7,1,197.26163493323716,228.0077566221581,0.5,47.23836506676284,1,[341]
228,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,6,-1,245.0,260.0,0.0,47.23836506676284,1,Int64[]
228,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,5,-1,245.0,260.0,0.0,51.642760907552486,1,Int64[]
228,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,4,-1,245.0,260.0,0.0,58.348642690661954,1,Int64[]
228,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,3,-1,245.0,260.0,0.0,70.36231025769824,1,Int64[]
228,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,2,-1,245.0,260.0,0.0,64.54228197233527,1,Int64[]
228,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,1,-1,245.0,260.0,0.0,69.52499881069488,1,Int64[]
228,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,0,-1,245.0,260.0,0.0,68.848739444667,1,Int64[]
230,depot,-1.7533,0.22958,247.1304420607176,247.1304420607176,0.0,247.1304420607176,0.0,0,0,0.0,1256.585572009445,0.0,0.0,2,Int64[]
