busType,maxPax,maxKWH,minSOC,maxSOC,SOC,consumption
1,10,35.8,10,80,20,0.24
1,10,35.8,10,80,21.5789473684211,0.24
1,10,35.8,10,80,23.1578947368421,0.24
1,10,35.8,10,80,24.7368421052632,0.24
1,10,35.8,10,80,26.3157894736842,0.24
1,10,35.8,10,80,27.8947368421053,0.24
1,10,35.8,10,80,29.4736842105263,0.24
1,10,35.8,10,80,31.0526315789474,0.24
1,10,35.8,10,80,32.6315789473684,0.24
1,10,35.8,10,80,34.2105263157895,0.24
1,10,35.8,10,80,35.7894736842105,0.24
1,10,35.8,10,80,37.3684210526316,0.24
1,10,35.8,10,80,38.9473684210526,0.24
1,10,35.8,10,80,40.5263157894737,0.24
1,10,35.8,10,80,42.1052631578947,0.24
1,10,35.8,10,80,43.6842105263158,0.24
1,10,35.8,10,80,45.2631578947368,0.24
1,10,35.8,10,80,46.8421052631579,0.24
1,10,35.8,10,80,48.4210526315789,0.24
1,10,35.8,10,80,50,0.24
1,10,35.8,10,80,51.5789473684211,0.24
1,10,35.8,10,80,53.1578947368421,0.24
1,10,35.8,10,80,54.7368421052632,0.24
1,10,35.8,10,80,56.3157894736842,0.24
1,10,35.8,10,80,57.8947368421053,0.24
1,10,35.8,10,80,59.4736842105263,0.24
1,10,35.8,10,80,61.0526315789474,0.24
1,10,35.8,10,80,62.6315789473684,0.24
1,10,35.8,10,80,64.2105263157895,0.24
1,10,35.8,10,80,65.7894736842105,0.24
1,10,35.8,10,80,67.3684210526316,0.24
1,10,35.8,10,80,68.9473684210526,0.24
1,10,35.8,10,80,70.5263157894737,0.24
1,10,35.8,10,80,72.1052631578947,0.24
1,10,35.8,10,80,73.6842105263158,0.24
1,10,35.8,10,80,75.2631578947368,0.24
1,10,35.8,10,80,76.8421052631579,0.24
1,10,35.8,10,80,78.4210526315789,0.24
1,10,35.8,10,80,80,0.24
