busStop_ID,busStop_X,busStop_Y
1,-10.08952,0.0812
2,-10.08952,1.4812
3,-10.08952,4.2812
4,-8.68952,2.8812
5,-8.68952,4.2812
6,-7.28952,0.0812
7,-5.88952,-8.3188
8,-5.88952,0.0812
9,-5.88952,4.2812
10,-5.88952,5.6812
11,-4.48952,-9.7188
12,-4.48952,-8.3188
13,-4.48952,-6.9188
14,-4.48952,9.8812
15,-3.08952,-9.7188
16,-3.08952,-8.3188
17,-1.68952,-8.3188
18,-1.68952,-4.1188
19,-1.68952,8.4812
20,-1.68952,9.8812
21,-0.28952,-4.1188
22,-0.28952,-2.7188
23,1.11048,-9.7188
24,1.11048,-4.1188
25,2.51048,5.6812
26,2.51048,7.0812
27,3.91048,-6.9188
28,3.91048,-1.3188
29,3.91048,1.4812
30,3.91048,2.8812
31,3.91048,8.4812
32,5.31048,2.8812
33,5.31048,7.0812
34,5.31048,8.4812
35,6.71048,5.6812
36,6.71048,7.0812
37,9.51048,1.4812
38,9.51048,2.8812
39,10.91048,2.8812
