busStop_ID,busStop_X,busStop_Y
1,-7.74428,-2.48093
2,-7.74428,-1.08093
3,-7.74428,1.71907
4,-7.74428,3.11907
5,-6.34428,-1.08093
6,-6.34428,0.31907
7,-6.34428,1.71907
8,-6.34428,3.11907
9,-6.34428,4.51907
10,-4.94428,-5.28093
11,-4.94428,-2.48093
12,-4.94428,-1.08093
13,-4.94428,0.31907
14,-4.94428,1.71907
15,-4.94428,3.11907
16,-4.94428,4.51907
17,-4.94428,5.91907
18,-4.94428,7.31907
19,-3.54428,-8.08093
20,-3.54428,-6.68093
21,-3.54428,-5.28093
22,-3.54428,-3.88093
23,-3.54428,-2.48093
24,-3.54428,-1.08093
25,-3.54428,0.31907
26,-3.54428,1.71907
27,-3.54428,3.11907
28,-3.54428,4.51907
29,-3.54428,5.91907
30,-3.54428,7.31907
31,-2.14428,-3.88093
32,-2.14428,-2.48093
33,-2.14428,-1.08093
34,-2.14428,3.11907
35,-2.14428,7.31907
36,-0.74428,-8.08093
37,-0.74428,-6.68093
38,-0.74428,-3.88093
39,-0.74428,1.71907
40,-0.74428,3.11907
41,-0.74428,4.51907
42,-0.74428,5.91907
43,-0.74428,7.31907
44,0.65572,-8.08093
45,0.65572,-6.68093
46,0.65572,-5.28093
47,0.65572,-3.88093
48,0.65572,-2.48093
49,0.65572,-1.08093
50,0.65572,1.71907
51,0.65572,5.91907
52,0.65572,7.31907
53,0.65572,8.71907
54,2.05572,-8.08093
55,2.05572,-6.68093
56,2.05572,-5.28093
57,2.05572,-3.88093
58,2.05572,-2.48093
59,2.05572,-1.08093
60,2.05572,0.31907
61,2.05572,1.71907
62,2.05572,3.11907
63,2.05572,4.51907
64,2.05572,5.91907
65,3.45572,-6.68093
66,3.45572,-5.28093
67,3.45572,-3.88093
68,3.45572,-2.48093
69,3.45572,-1.08093
70,3.45572,0.31907
71,3.45572,1.71907
72,3.45572,3.11907
73,3.45572,5.91907
74,4.85572,-5.28093
75,4.85572,-3.88093
76,4.85572,-2.48093
77,4.85572,0.31907
78,4.85572,1.71907
79,4.85572,3.11907
80,4.85572,4.51907
81,4.85572,5.91907
82,6.25572,-3.88093
83,6.25572,-2.48093
84,6.25572,1.71907
85,6.25572,3.11907
86,6.25572,4.51907
87,6.25572,5.91907
88,7.65572,-1.08093
89,7.65572,0.31907
90,7.65572,1.71907
91,7.65572,3.11907
92,7.65572,4.51907
