busStop_ID,busStop_X,busStop_Y
1,-7.06629,-2.87202
2,-7.06629,-1.97202
3,-7.06629,-1.07202
4,-7.06629,-0.17202
5,-7.06629,2.52798
6,-6.16629,-0.17202
7,-6.16629,2.52798
8,-5.26629,-4.67202
9,-5.26629,-1.07202
10,-5.26629,-0.17202
11,-5.26629,0.72798
12,-5.26629,1.62798
13,-5.26629,2.52798
14,-5.26629,3.42798
15,-4.36629,-4.67202
16,-4.36629,-1.97202
17,-4.36629,-1.07202
18,-4.36629,1.62798
19,-4.36629,2.52798
20,-4.36629,4.32798
21,-4.36629,5.22798
22,-4.36629,6.12798
23,-3.46629,-4.67202
24,-3.46629,-3.77202
25,-3.46629,-2.87202
26,-3.46629,-1.97202
27,-3.46629,-0.17202
28,-3.46629,0.72798
29,-3.46629,1.62798
30,-3.46629,2.52798
31,-3.46629,4.32798
32,-3.46629,5.22798
33,-3.46629,6.12798
34,-2.56629,-7.37202
35,-2.56629,-6.47202
36,-2.56629,-4.67202
37,-2.56629,-2.87202
38,-2.56629,-1.97202
39,-2.56629,-1.07202
40,-2.56629,-0.17202
41,-2.56629,0.72798
42,-2.56629,1.62798
43,-2.56629,2.52798
44,-2.56629,3.42798
45,-1.66629,-2.87202
46,-1.66629,-1.97202
47,-1.66629,2.52798
48,-1.66629,6.12798
49,-1.66629,7.02798
50,-0.76629,-5.57202
51,-0.76629,-3.77202
52,-0.76629,2.52798
53,-0.76629,3.42798
54,-0.76629,4.32798
55,-0.76629,6.12798
56,0.13371,-7.37202
57,0.13371,-5.57202
58,0.13371,-3.77202
59,0.13371,-1.97202
60,0.13371,1.62798
61,0.13371,2.52798
62,0.13371,4.32798
63,0.13371,5.22798
64,0.13371,6.12798
65,0.13371,7.02798
66,1.03371,-7.37202
67,1.03371,-6.47202
68,1.03371,-4.67202
69,1.03371,-3.77202
70,1.03371,-2.87202
71,1.03371,-1.97202
72,1.03371,-1.07202
73,1.03371,1.62798
74,1.03371,7.02798
75,1.03371,7.92798
76,1.93371,-7.37202
77,1.93371,-6.47202
78,1.93371,-5.57202
79,1.93371,-2.87202
80,1.93371,-1.07202
81,1.93371,-0.17202
82,1.93371,1.62798
83,1.93371,2.52798
84,1.93371,3.42798
85,1.93371,4.32798
86,1.93371,5.22798
87,2.83371,-6.47202
88,2.83371,-5.57202
89,2.83371,-4.67202
90,2.83371,-3.77202
91,2.83371,-1.07202
92,2.83371,2.52798
93,2.83371,5.22798
94,2.83371,6.12798
95,3.73371,-4.67202
96,3.73371,-2.87202
97,3.73371,-1.07202
98,3.73371,-0.17202
99,3.73371,0.72798
100,3.73371,1.62798
101,3.73371,4.32798
102,3.73371,5.22798
103,3.73371,6.12798
104,4.63371,-4.67202
105,4.63371,-3.77202
106,4.63371,-2.87202
107,4.63371,-1.97202
108,4.63371,2.52798
109,4.63371,3.42798
110,4.63371,4.32798
111,4.63371,5.22798
112,5.53371,-3.77202
113,5.53371,-1.97202
114,5.53371,1.62798
115,5.53371,2.52798
116,5.53371,3.42798
117,5.53371,4.32798
118,5.53371,5.22798
119,6.43371,-0.17202
120,6.43371,1.62798
121,6.43371,3.42798
122,6.43371,4.32798
123,7.33371,-0.17202
124,7.33371,0.72798
125,7.33371,1.62798
