busStop_ID,busStop_X,busStop_Y
1,-12.06327,-4.85757
2,-12.06327,-3.45757
3,-12.06327,0.74243
4,-12.06327,4.94243
5,-12.06327,6.34243
6,-10.66327,-10.45757
7,-10.66327,-9.05757
8,-10.66327,-3.45757
9,-10.66327,0.74243
10,-10.66327,6.34243
11,-9.26327,-9.05757
12,-9.26327,0.74243
13,-9.26327,2.14243
14,-9.26327,6.34243
15,-9.26327,9.14243
16,-7.86327,-9.05757
17,-7.86327,-7.65757
18,-7.86327,-3.45757
19,-7.86327,-2.05757
20,-7.86327,-0.65757
21,-7.86327,0.74243
22,-7.86327,2.14243
23,-7.86327,3.54243
24,-7.86327,4.94243
25,-7.86327,6.34243
26,-7.86327,9.14243
27,-7.86327,10.54243
28,-6.46327,-7.65757
29,-6.46327,-2.05757
30,-6.46327,0.74243
31,-6.46327,3.54243
32,-6.46327,4.94243
33,-6.46327,6.34243
34,-5.06327,-11.85757
35,-5.06327,-10.45757
36,-5.06327,-9.05757
37,-5.06327,-7.65757
38,-5.06327,-6.25757
39,-5.06327,-4.85757
40,-5.06327,-3.45757
41,-5.06327,0.74243
42,-5.06327,3.54243
43,-5.06327,4.94243
44,-5.06327,6.34243
45,-5.06327,7.74243
46,-5.06327,11.94243
47,-5.06327,13.34243
48,-3.66327,-9.05757
49,-3.66327,-6.25757
50,-3.66327,-3.45757
51,-3.66327,-2.05757
52,-3.66327,0.74243
53,-3.66327,3.54243
54,-3.66327,4.94243
55,-3.66327,7.74243
56,-3.66327,9.14243
57,-3.66327,11.94243
58,-2.26327,-10.45757
59,-2.26327,-9.05757
60,-2.26327,0.74243
61,-2.26327,6.34243
62,-2.26327,7.74243
63,-0.86327,-14.65757
64,-0.86327,-13.25757
65,-0.86327,4.94243
66,-0.86327,7.74243
67,-0.86327,11.94243
68,0.53673,-13.25757
69,0.53673,-11.85757
70,0.53673,-7.65757
71,0.53673,4.94243
72,0.53673,6.34243
73,0.53673,7.74243
74,0.53673,13.34243
75,0.53673,14.74243
76,1.93673,-9.05757
77,1.93673,0.74243
78,1.93673,14.74243
79,3.33673,-2.05757
80,3.33673,3.54243
81,3.33673,7.74243
82,3.33673,14.74243
83,4.73673,-10.45757
84,4.73673,-9.05757
85,4.73673,-7.65757
86,4.73673,-3.45757
87,4.73673,-2.05757
88,4.73673,2.14243
89,4.73673,3.54243
90,4.73673,10.54243
91,4.73673,13.34243
92,6.13673,-4.85757
93,6.13673,2.14243
94,6.13673,3.54243
95,6.13673,6.34243
96,6.13673,9.14243
97,6.13673,10.54243
98,7.53673,-4.85757
99,7.53673,-3.45757
100,7.53673,0.74243
101,8.93673,-13.25757
102,8.93673,-11.85757
103,8.93673,-9.05757
104,8.93673,-7.65757
105,8.93673,-6.25757
106,8.93673,-4.85757
107,8.93673,0.74243
108,8.93673,2.14243
109,8.93673,4.94243
110,8.93673,6.34243
111,8.93673,9.14243
112,8.93673,10.54243
113,10.33673,-7.65757
114,10.33673,-6.25757
115,10.33673,-4.85757
116,10.33673,2.14243
117,11.73673,-0.65757
118,11.73673,0.74243
119,11.73673,10.54243
120,13.13673,-6.25757
121,13.13673,-3.45757
122,13.13673,-2.05757
123,13.13673,0.74243
124,14.53673,-2.05757
125,14.53673,0.74243
126,15.93673,-3.45757
127,15.93673,-2.05757
128,15.93673,2.14243
129,15.93673,3.54243
130,17.33673,-2.05757
