cus,pickup_bus_node,drop_off_transit_node,ride_time,cus_walking_time
264,90,130,8.92961622390331,11.43992246265494
265,75,130,16.575950480438337,3.6547877439445324
266,66,130,21.648117935043558,10.363911091914444
267,5,130,23.708487118184266,9.267427144701648
268,96,130,16.006542359222777,2.9086372390236797
269,40,130,28.78757324719129,7.556941176470588
270,52,130,11.948171692637061,11.484984457978168
271,7,130,23.916247167846166,9.845514893370025
272,23,130,21.131311847231046,9.332150130719258
273,66,130,21.648117935043558,6.771388417988327
274,113,130,11.218357092926823,5.116522181985954
275,27,130,17.908929057560925,5.001733547232264
276,75,130,16.575950480438337,1.7664572681717396
277,83,130,2.817193921172361,7.138619548057114
278,8,130,28.979328051491095,10.758547598815829
279,99,130,4.456671789442822,1.2323108626818784
280,32,130,10.42718060201372,6.530847181912526
281,118,130,16.72620218602505,8.263606277278859
282,118,130,16.72620218602505,9.416339609430974
283,67,130,22.066783323078198,4.2446208417201765
284,2,130,35.310450450057886,2.433361557719747
285,79,130,18.899196784534837,4.657390517874378
286,85,130,8.991555453241574,2.441577628272113
287,59,130,3.4810052259058892,5.533681327837941
288,28,130,22.730512451331364,9.757993622833144
289,81,130,11.815036690556724,11.230571023267277
290,38,130,12.97380009341012,11.633042668627315
291,41,130,10.318640852595564,6.6545285597810135
292,108,130,14.103777559580237,9.085252280291376
293,84,130,7.304892211432119,5.6275663445167625
294,2,130,35.310450450057886,4.4360900658873454
295,44,130,10.088379626756705,9.66176073560667
296,113,130,11.218357092926823,6.854297118063889
297,45,130,13.163396323562111,9.181692334076931
298,3,130,35.4606927043114,3.5549411764705887
299,65,130,11.174099555718783,2.633970090184427
300,80,130,16.875091431213093,3.7977190058058223
301,20,130,13.424795937647787,10.724868048486163
302,16,130,17.874524799827967,9.936454723420633
303,38,130,12.97380009341012,11.31392671272444
304,76,130,18.762697468390144,9.11554904818283
305,83,130,2.817193921172361,8.557490413258453
306,82,130,6.044195757249895,3.9989876954343493
307,11,130,28.564474769687664,10.499777706659946
308,95,130,10.190312678085533,1.5120900359491223
309,53,130,15.483524499524137,5.116438214226752
310,1,130,29.750209486202465,2.807720813416113
311,44,130,10.088379626756705,2.0260658419330158
312,8,130,28.979328051491095,3.7262278578265913
313,106,130,10.144549432230363,11.301202241829257
314,187,259,11.493590912101737,9.0940724791512
315,144,259,16.958886117443257,8.26964014982589
316,223,259,7.811518888384711,8.01848265034232
317,208,259,17.4151012839975,2.2532576156207624
318,202,259,9.24609621930611,5.730934467302181
319,149,259,8.325816526692805,7.446053236632689
320,216,259,21.108951021225593,8.18662845119551
321,190,259,2.7876683054510636,10.592508361947317
322,241,259,27.574225430332817,10.361405996696268
323,178,259,1.1840517721857253,10.847732873021396
324,172,259,6.222749978794894,11.14793475372709
325,139,259,11.124923799086957,6.4932609579865135
326,227,259,17.119078700634518,4.916535147303566
327,190,259,2.7876683054510636,10.879818572932672
328,180,259,5.713996772740188,7.887419648141105
329,161,259,10.400115413788669,8.850482633018958
330,147,259,14.159778845049104,11.059515288126526
331,231,259,17.78945807111262,2.6437916595489064
332,204,259,15.274988702869294,4.232758227743813
333,253,259,24.516884339443706,3.3481007310399566
334,249,259,22.09114263724986,8.348281043047281
335,177,259,17.108200054951922,3.3796350860527644
336,167,259,8.213368425836862,7.05141554907061
337,232,259,15.449199810865665,4.443043521846726
338,252,259,19.205722170596445,8.661567731706219
339,239,259,28.563587016243332,9.81217693378645
340,245,259,31.12690013247297,6.8156767350279654
341,245,259,31.12690013247297,7.280939371501994
342,161,259,10.400115413788669,5.479887944955933
343,200,259,7.275713614839873,5.563014895418093
344,198,259,15.765271838004992,4.014267318428882
345,201,259,7.059349231354304,10.911718386456307
346,256,259,28.78856526534696,6.593638836580791
347,226,259,20.99257267653813,4.654143725020628
348,187,259,11.493590912101737,10.800172163820639
349,168,259,3.234213208890722,5.8866419575452475
350,235,259,13.156744949431541,8.407738643263453
351,166,259,14.671796339691923,0.8732304657802452
352,144,259,16.958886117443257,3.1933896451271875
353,161,259,10.400115413788669,10.482123935572025
354,163,259,4.05413560078955,5.90987314192388
355,241,259,27.574225430332817,11.336481186355035
356,183,259,11.274237736595609,10.909961661720333
357,258,259,34.62252758370326,4.49861182433212
358,199,259,9.46246060279168,7.863489931959897
359,203,259,10.018045197494317,7.432872413699771
360,237,259,13.645481206741024,7.264330012662682
361,255,259,19.98916134880011,4.000829768606772
362,218,259,13.684532054837618,4.3078243467063615
363,224,259,13.517777145209365,7.264432502596122
