busStop_ID,busStop_X,busStop_Y
1,-37.57609,-11.62962
2,-36.17609,-7.42962
3,-36.17609,6.57038
4,-34.77609,-7.42962
5,-33.37609,-20.02962
6,-33.37609,-10.22962
7,-31.97609,-20.02962
8,-31.97609,-10.22962
9,-30.57609,-17.22962
10,-29.17609,-17.22962
11,-27.77609,-20.02962
12,-26.37609,-20.02962
13,-26.37609,-4.62962
14,-26.37609,5.17038
15,-23.57609,30.37038
16,-23.57609,31.77038
17,-20.77609,28.97038
18,-19.37609,-8.82962
19,-19.37609,30.37038
20,-17.97609,28.97038
21,-17.97609,30.37038
22,-15.17609,5.17038
23,-12.37609,-31.22962
24,-12.37609,-29.82962
25,-12.37609,-17.22962
26,-12.37609,-0.42962
27,-10.97609,-17.22962
28,-10.97609,26.17038
29,-9.57609,26.17038
30,-8.17609,31.77038
31,-6.77609,-20.02962
32,-6.77609,-3.22962
33,-6.77609,31.77038
34,-5.37609,-6.02962
35,-5.37609,-4.62962
36,-5.37609,5.17038
37,-2.57609,34.57038
38,-2.57609,38.77038
39,-1.17609,-32.62962
40,-1.17609,31.77038
41,-1.17609,35.97038
42,-1.17609,38.77038
43,0.22391,-38.22962
44,0.22391,-34.02962
45,0.22391,-32.62962
46,0.22391,-17.22962
47,0.22391,-15.82962
48,0.22391,26.17038
49,0.22391,31.77038
50,0.22391,33.17038
51,1.62391,-34.02962
52,1.62391,13.57038
53,1.62391,26.17038
54,3.02391,13.57038
55,3.02391,27.57038
56,4.42391,-17.22962
57,4.42391,-15.82962
58,4.42391,27.57038
59,5.82391,-32.62962
60,5.82391,-14.42962
61,5.82391,-13.02962
62,7.22391,3.77038
63,8.62391,3.77038
64,10.02391,12.17038
65,11.42391,3.77038
66,11.42391,6.57038
67,12.82391,6.57038
68,12.82391,37.37038
69,15.62391,-28.42962
70,15.62391,-24.22962
71,15.62391,-22.82962
72,15.62391,27.57038
73,17.02391,27.57038
74,18.42391,30.37038
75,19.82391,-8.82962
76,21.22391,-13.02962
77,21.22391,-11.62962
78,21.22391,-8.82962
79,22.62391,-18.62962
80,22.62391,31.77038
81,24.02391,2.37038
82,24.02391,31.77038
83,25.42391,2.37038
84,26.82391,27.57038
85,26.82391,28.97038
86,33.82391,-20.02962
87,33.82391,-15.82962
88,35.22391,-15.82962
89,38.02391,-10.22962
