busStop_ID,busStop_X,busStop_Y
1,-2.96618,-0.39736
2,-2.96618,-0.19736
3,-2.96618,0.00264
4,-2.96618,0.20264
5,-2.96618,0.40264
6,-2.76618,-1.39736
7,-2.76618,-1.19736
8,-2.76618,-0.79736
9,-2.76618,-0.39736
10,-2.76618,-0.19736
11,-2.76618,0.00264
12,-2.76618,0.20264
13,-2.76618,0.40264
14,-2.76618,0.60264
15,-2.76618,0.80264
16,-2.76618,1.00264
17,-2.56618,-1.59736
18,-2.56618,-1.39736
19,-2.56618,-1.19736
20,-2.56618,-0.99736
21,-2.56618,-0.79736
22,-2.56618,-0.39736
23,-2.56618,-0.19736
24,-2.56618,0.00264
25,-2.56618,0.20264
26,-2.56618,0.40264
27,-2.56618,0.60264
28,-2.56618,0.80264
29,-2.56618,1.00264
30,-2.56618,1.40264
31,-2.36618,-1.59736
32,-2.36618,-1.39736
33,-2.36618,-1.19736
34,-2.36618,-0.59736
35,-2.36618,-0.39736
36,-2.36618,-0.19736
37,-2.36618,0.00264
38,-2.36618,0.20264
39,-2.36618,0.40264
40,-2.36618,0.60264
41,-2.36618,0.80264
42,-2.36618,1.00264
43,-2.36618,1.20264
44,-2.36618,1.40264
45,-2.36618,1.60264
46,-2.16618,-1.59736
47,-2.16618,-1.39736
48,-2.16618,-1.19736
49,-2.16618,-0.99736
50,-2.16618,-0.79736
51,-2.16618,-0.59736
52,-2.16618,-0.39736
53,-2.16618,-0.19736
54,-2.16618,0.00264
55,-2.16618,0.20264
56,-2.16618,0.40264
57,-2.16618,0.60264
58,-2.16618,0.80264
59,-2.16618,1.00264
60,-2.16618,1.20264
61,-2.16618,1.40264
62,-2.16618,1.60264
63,-2.16618,1.80264
64,-2.16618,2.00264
65,-1.96618,-2.19736
66,-1.96618,-1.99736
67,-1.96618,-1.79736
68,-1.96618,-1.59736
69,-1.96618,-1.39736
70,-1.96618,-1.19736
71,-1.96618,-0.99736
72,-1.96618,-0.79736
73,-1.96618,-0.59736
74,-1.96618,-0.39736
75,-1.96618,-0.19736
76,-1.96618,0.20264
77,-1.96618,1.00264
78,-1.96618,1.20264
79,-1.96618,1.40264
80,-1.96618,1.60264
81,-1.96618,1.80264
82,-1.76618,-2.19736
83,-1.76618,-1.79736
84,-1.76618,-1.59736
85,-1.76618,-1.39736
86,-1.76618,-1.19736
87,-1.76618,-0.99736
88,-1.76618,-0.79736
89,-1.76618,-0.59736
90,-1.76618,-0.39736
91,-1.76618,0.20264
92,-1.76618,0.40264
93,-1.76618,0.60264
94,-1.76618,0.80264
95,-1.76618,1.00264
96,-1.76618,1.20264
97,-1.76618,1.40264
98,-1.76618,1.60264
99,-1.76618,1.80264
100,-1.76618,2.40264
101,-1.56618,-2.59736
102,-1.56618,-2.39736
103,-1.56618,-2.19736
104,-1.56618,-1.99736
105,-1.56618,-1.79736
106,-1.56618,-1.59736
107,-1.56618,-1.39736
108,-1.56618,-1.19736
109,-1.56618,-0.99736
110,-1.56618,-0.79736
111,-1.56618,-0.19736
112,-1.56618,0.00264
113,-1.56618,0.20264
114,-1.56618,0.40264
115,-1.56618,0.60264
116,-1.56618,0.80264
117,-1.56618,1.00264
118,-1.56618,1.20264
119,-1.56618,1.40264
120,-1.56618,1.80264
121,-1.56618,2.40264
122,-1.36618,-2.59736
123,-1.36618,-2.39736
124,-1.36618,-2.19736
125,-1.36618,-1.99736
126,-1.36618,-1.79736
127,-1.36618,-1.59736
128,-1.36618,-1.39736
129,-1.36618,-1.19736
130,-1.36618,-0.99736
131,-1.36618,-0.79736
132,-1.36618,-0.59736
133,-1.36618,0.60264
134,-1.36618,0.80264
135,-1.36618,1.00264
136,-1.36618,1.20264
137,-1.36618,1.40264
138,-1.36618,1.60264
139,-1.36618,1.80264
140,-1.36618,2.00264
141,-1.36618,2.20264
142,-1.36618,2.40264
143,-1.36618,2.60264
144,-1.16618,-2.59736
145,-1.16618,-2.39736
146,-1.16618,-2.19736
147,-1.16618,-1.99736
148,-1.16618,-1.79736
149,-1.16618,-1.59736
150,-1.16618,-1.19736
151,-1.16618,-0.99736
152,-1.16618,1.00264
153,-1.16618,1.20264
154,-1.16618,1.60264
155,-1.16618,1.80264
156,-1.16618,2.00264
157,-1.16618,2.20264
158,-1.16618,2.40264
159,-0.96618,-2.79736
160,-0.96618,-2.39736
161,-0.96618,-2.19736
162,-0.96618,-1.99736
163,-0.96618,-1.79736
164,-0.96618,-1.39736
165,-0.96618,-1.19736
166,-0.96618,1.20264
167,-0.96618,1.40264
168,-0.96618,1.60264
169,-0.96618,1.80264
170,-0.96618,2.20264
171,-0.96618,2.60264
172,-0.76618,-2.59736
173,-0.76618,-2.39736
174,-0.76618,-1.99736
175,-0.76618,-1.79736
176,-0.76618,-1.59736
177,-0.76618,-1.39736
178,-0.76618,1.20264
179,-0.76618,1.40264
180,-0.76618,1.60264
181,-0.76618,1.80264
182,-0.76618,2.00264
183,-0.76618,2.20264
184,-0.76618,2.40264
185,-0.76618,2.60264
186,-0.76618,2.80264
187,-0.56618,-2.99736
188,-0.56618,-2.79736
189,-0.56618,-2.59736
190,-0.56618,-2.39736
191,-0.56618,-2.19736
192,-0.56618,-1.99736
193,-0.56618,-1.79736
194,-0.56618,-1.39736
195,-0.56618,1.40264
196,-0.56618,1.60264
197,-0.56618,1.80264
198,-0.56618,2.00264
199,-0.56618,2.20264
200,-0.56618,2.40264
201,-0.56618,2.60264
202,-0.56618,2.80264
203,-0.36618,-2.79736
204,-0.36618,-2.59736
205,-0.36618,-2.39736
206,-0.36618,-2.19736
207,-0.36618,-1.99736
208,-0.36618,-1.79736
209,-0.36618,1.80264
210,-0.36618,2.00264
211,-0.36618,2.40264
212,-0.36618,2.60264
213,-0.36618,2.80264
214,-0.16618,-2.99736
215,-0.16618,-2.79736
216,-0.16618,-2.59736
217,-0.16618,-2.39736
218,-0.16618,-2.19736
219,-0.16618,-1.99736
220,-0.16618,-1.79736
221,-0.16618,-1.59736
222,-0.16618,1.60264
223,-0.16618,2.00264
224,-0.16618,2.20264
225,-0.16618,2.40264
226,-0.16618,2.60264
227,-0.16618,2.80264
228,0.03382,-2.99736
229,0.03382,-2.79736
230,0.03382,-2.59736
231,0.03382,-2.39736
232,0.03382,-2.19736
233,0.03382,-1.99736
234,0.03382,-1.79736
235,0.03382,-1.59736
236,0.03382,1.60264
237,0.03382,1.80264
238,0.03382,2.20264
239,0.03382,2.40264
240,0.03382,2.60264
241,0.23382,-2.79736
242,0.23382,-2.59736
243,0.23382,-2.39736
244,0.23382,-2.19736
245,0.23382,-1.99736
246,0.23382,-1.59736
247,0.23382,-1.39736
248,0.23382,1.60264
249,0.23382,1.80264
250,0.23382,2.00264
251,0.43382,-2.99736
252,0.43382,-2.79736
253,0.43382,-2.59736
254,0.43382,-1.99736
255,0.43382,-1.79736
256,0.43382,-1.59736
257,0.43382,-1.39736
258,0.43382,1.40264
259,0.43382,1.60264
260,0.43382,1.80264
261,0.43382,2.00264
262,0.43382,2.20264
263,0.43382,2.60264
264,0.63382,-2.99736
265,0.63382,-2.19736
266,0.63382,-1.99736
267,0.63382,-1.59736
268,0.63382,1.40264
269,0.63382,2.00264
270,0.63382,2.20264
271,0.63382,2.40264
272,0.63382,2.60264
273,0.83382,-2.99736
274,0.83382,-2.79736
275,0.83382,-2.59736
276,0.83382,-2.19736
277,0.83382,-1.99736
278,0.83382,-1.79736
279,0.83382,-1.59736
280,0.83382,-1.39736
281,0.83382,1.20264
282,0.83382,1.60264
283,0.83382,1.80264
284,0.83382,2.00264
285,0.83382,2.20264
286,0.83382,2.40264
287,0.83382,2.60264
288,0.83382,2.80264
289,1.03382,-2.59736
290,1.03382,-2.39736
291,1.03382,-2.19736
292,1.03382,-1.99736
293,1.03382,-1.79736
294,1.03382,-1.39736
295,1.03382,-1.19736
296,1.03382,1.20264
297,1.03382,1.40264
298,1.03382,1.60264
299,1.03382,2.00264
300,1.03382,2.20264
301,1.03382,2.40264
302,1.03382,2.60264
303,1.03382,2.80264
304,1.23382,-2.39736
305,1.23382,-1.99736
306,1.23382,-1.79736
307,1.23382,-1.59736
308,1.23382,-1.39736
309,1.23382,-0.99736
310,1.23382,-0.79736
311,1.23382,1.00264
312,1.23382,1.40264
313,1.23382,1.60264
314,1.23382,2.00264
315,1.23382,2.20264
316,1.43382,-2.19736
317,1.43382,-1.99736
318,1.43382,-1.79736
319,1.43382,-1.59736
320,1.43382,-1.39736
321,1.43382,-1.19736
322,1.43382,-0.99736
323,1.43382,-0.79736
324,1.43382,0.00264
325,1.43382,0.60264
326,1.43382,0.80264
327,1.43382,1.40264
328,1.43382,1.60264
329,1.43382,1.80264
330,1.43382,2.20264
331,1.43382,2.40264
332,1.43382,2.60264
333,1.63382,-2.39736
334,1.63382,-1.99736
335,1.63382,-1.79736
336,1.63382,-1.59736
337,1.63382,-1.39736
338,1.63382,-1.19736
339,1.63382,-0.99736
340,1.63382,-0.79736
341,1.63382,-0.59736
342,1.63382,-0.39736
343,1.63382,-0.19736
344,1.63382,0.00264
345,1.63382,0.20264
346,1.63382,0.40264
347,1.63382,0.60264
348,1.63382,0.80264
349,1.63382,1.00264
350,1.63382,1.20264
351,1.63382,1.40264
352,1.63382,1.60264
353,1.63382,1.80264
354,1.63382,2.00264
355,1.63382,2.20264
356,1.63382,2.40264
357,1.63382,2.60264
358,1.83382,-2.19736
359,1.83382,-1.99736
360,1.83382,-1.79736
361,1.83382,-1.59736
362,1.83382,-1.19736
363,1.83382,-0.99736
364,1.83382,-0.79736
365,1.83382,-0.59736
366,1.83382,-0.39736
367,1.83382,-0.19736
368,1.83382,0.00264
369,1.83382,0.20264
370,1.83382,0.40264
371,1.83382,1.00264
372,1.83382,1.20264
373,1.83382,1.40264
374,1.83382,1.60264
375,1.83382,1.80264
376,1.83382,2.00264
377,1.83382,2.20264
378,1.83382,2.40264
379,2.03382,-2.19736
380,2.03382,-1.99736
381,2.03382,-1.79736
382,2.03382,-1.59736
383,2.03382,-1.39736
384,2.03382,-0.99736
385,2.03382,-0.79736
386,2.03382,-0.59736
387,2.03382,-0.39736
388,2.03382,-0.19736
389,2.03382,0.00264
390,2.03382,0.40264
391,2.03382,0.60264
392,2.03382,1.00264
393,2.03382,1.20264
394,2.03382,1.40264
395,2.03382,1.60264
396,2.03382,1.80264
397,2.03382,2.00264
398,2.23382,-1.99736
399,2.23382,-1.79736
400,2.23382,-1.59736
401,2.23382,-1.39736
402,2.23382,-1.19736
403,2.23382,-0.79736
404,2.23382,-0.59736
405,2.23382,-0.19736
406,2.23382,0.00264
407,2.23382,0.20264
408,2.23382,0.60264
409,2.23382,1.00264
410,2.23382,1.20264
411,2.23382,1.40264
412,2.23382,1.80264
413,2.43382,-1.79736
414,2.43382,-1.59736
415,2.43382,-1.39736
416,2.43382,-1.19736
417,2.43382,-0.79736
418,2.43382,-0.59736
419,2.43382,-0.39736
