busStop_ID,busStop_X,busStop_Y
1,-5.60233,1.52535
2,-4.80233,-3.27465
3,-4.80233,-2.47465
4,-4.80233,-1.67465
5,-4.80233,-0.87465
6,-4.80233,-0.07465
7,-4.80233,0.72535
8,-4.80233,1.52535
9,-4.80233,2.32535
10,-4.00233,-3.27465
11,-4.00233,-2.47465
12,-4.00233,-1.67465
13,-4.00233,-0.87465
14,-4.00233,-0.07465
15,-4.00233,0.72535
16,-4.00233,1.52535
17,-4.00233,2.32535
18,-4.00233,3.12535
19,-4.00233,3.92535
20,-3.20233,-4.07465
21,-3.20233,-3.27465
22,-3.20233,-2.47465
23,-3.20233,-1.67465
24,-3.20233,-0.87465
25,-3.20233,-0.07465
26,-3.20233,0.72535
27,-3.20233,1.52535
28,-3.20233,2.32535
29,-3.20233,3.12535
30,-3.20233,3.92535
31,-2.40233,-4.87465
32,-2.40233,-4.07465
33,-2.40233,-3.27465
34,-2.40233,-2.47465
35,-2.40233,-1.67465
36,-2.40233,-0.87465
37,-2.40233,-0.07465
38,-2.40233,0.72535
39,-2.40233,1.52535
40,-2.40233,2.32535
41,-2.40233,3.12535
42,-2.40233,3.92535
43,-2.40233,4.72535
44,-1.60233,-4.87465
45,-1.60233,-4.07465
46,-1.60233,-3.27465
47,-1.60233,-2.47465
48,-1.60233,-1.67465
49,-1.60233,-0.87465
50,-1.60233,-0.07465
51,-1.60233,0.72535
52,-1.60233,1.52535
53,-1.60233,2.32535
54,-1.60233,3.12535
55,-1.60233,3.92535
56,-1.60233,4.72535
57,-0.80233,-4.87465
58,-0.80233,-4.07465
59,-0.80233,-3.27465
60,-0.80233,-2.47465
61,-0.80233,-1.67465
62,-0.80233,-0.87465
63,-0.80233,-0.07465
64,-0.80233,1.52535
65,-0.80233,2.32535
66,-0.80233,3.12535
67,-0.80233,3.92535
68,-0.80233,4.72535
69,-0.00233,-4.87465
70,-0.00233,-4.07465
71,-0.00233,-3.27465
72,-0.00233,-2.47465
73,-0.00233,-1.67465
74,-0.00233,-0.87465
75,-0.00233,0.72535
76,-0.00233,1.52535
77,-0.00233,2.32535
78,-0.00233,3.12535
79,-0.00233,3.92535
80,-0.00233,4.72535
81,0.79767,-5.67465
82,0.79767,-4.87465
83,0.79767,-4.07465
84,0.79767,-3.27465
85,0.79767,-2.47465
86,0.79767,-1.67465
87,0.79767,-0.87465
88,0.79767,-0.07465
89,0.79767,0.72535
90,0.79767,1.52535
91,0.79767,2.32535
92,0.79767,3.12535
93,0.79767,3.92535
94,0.79767,4.72535
95,0.79767,5.52535
96,1.59767,-4.87465
97,1.59767,-4.07465
98,1.59767,-3.27465
99,1.59767,-2.47465
100,1.59767,-1.67465
101,1.59767,-0.87465
102,1.59767,-0.07465
103,1.59767,0.72535
104,1.59767,1.52535
105,1.59767,2.32535
106,1.59767,3.12535
107,1.59767,3.92535
108,1.59767,4.72535
109,2.39767,-4.87465
110,2.39767,-4.07465
111,2.39767,-3.27465
112,2.39767,-2.47465
113,2.39767,-1.67465
114,2.39767,-0.87465
115,2.39767,-0.07465
116,2.39767,0.72535
117,2.39767,1.52535
118,2.39767,2.32535
119,2.39767,3.12535
120,2.39767,3.92535
121,2.39767,4.72535
122,3.19767,-4.07465
123,3.19767,-3.27465
124,3.19767,-2.47465
125,3.19767,-1.67465
126,3.19767,-0.87465
127,3.19767,-0.07465
128,3.19767,0.72535
129,3.19767,1.52535
130,3.19767,2.32535
131,3.19767,3.12535
132,3.19767,3.92535
133,3.19767,4.72535
134,3.99767,-3.27465
135,3.99767,-2.47465
136,3.99767,-1.67465
137,3.99767,-0.87465
138,3.99767,-0.07465
139,3.99767,0.72535
140,3.99767,1.52535
141,3.99767,2.32535
142,3.99767,3.12535
143,3.99767,3.92535
144,4.79767,-3.27465
145,4.79767,-2.47465
146,4.79767,-1.67465
147,4.79767,-0.87465
148,4.79767,-0.07465
149,4.79767,0.72535
150,5.59767,-0.87465
