passenger_ID,passenger_X,passenger_Y,passenger_StationID,passenger_DepartureTime,DistanceFromStation
3,-0.30842,-3.71901,1,13,3.7317744725668
4,-0.38754,4.02005,1,13,4.03868831490215
6,-4.87069,0.69149,1,13,4.9195327936447
7,-3.95739,-0.08853,1,13,3.9583773626697
12,-1.62437,-1.97111,1,13,2.55418558593731
13,1.08448,4.504,1,13,4.63272451734098
17,-2.14019,2.49665,1,13,3.28841209324526
19,3.40628,1.92561,1,13,3.9128881731136
20,3.02066,-1.30058,1,13,3.28875202815377
22,-2.17423,-2.41097,1,13,3.24654358423104
23,-3.68781,-2.23866,1,13,4.31410890222203
24,-3.91359,1.34907,1,13,4.13958790094722
31,2.34068,-1.07507,1,13,2.5757674201552
32,0.36592,-2.11318,1,13,2.14462492268317
33,0.77085,-4.66082,1,13,4.72413748497224
36,1.17802,2.74106,1,13,2.98347422146967
40,2.62814,-4.03799,1,13,4.81793238003611
41,2.12589,3.84251,1,13,4.39138790001235
46,1.44532,2.12487,1,13,2.56982637560589
49,3.3117,-0.18685,1,13,3.31696552106198
51,-2.38846,-4.20608,1,13,4.83692855386491
52,-0.53431,-2.62727,1,13,2.68105554268576
53,-2.20442,-2.4907,1,13,3.32611543671579
55,-0.75812,-4.5547,1,13,4.61736513362317
59,1.65962,-0.86844,1,13,1.87310556871955
60,2.19882,2.47249,1,13,3.30878045754152
61,3.97105,0.21808,1,13,3.97703851258995
63,0.90246,2.60531,1,13,2.75718464300365
64,-0.97956,4.00663,1,13,4.12463476605523
65,-0.14428,4.48358,1,13,4.4859031712179
67,0.63861,-1.62983,1,13,1.75047594837808
68,3.679,3.15537,1,13,4.84679089192737
71,2.88948,-1.46347,1,13,3.23895170726249
72,4.31551,0.24943,1,13,4.32271183984366
74,1.10631,-3.84887,1,13,4.00470745630218
77,-1.27574,1.72328,1,13,2.14411060474141
78,3.18722,-1.15714,1,13,3.39077185199534
81,-2.00148,4.22698,1,13,4.67688641742659
83,4.12693,-0.92898,1,13,4.23019189665033
84,3.16226,2.40549,1,13,3.97318987357389
85,-3.00273,3.46294,1,13,4.58347898926439
86,1.90331,-0.26594,1,13,1.92179864664129
88,3.44899,-0.29705,1,13,3.46175654794141
89,1.30448,-2.42872,1,13,2.75686817094852
91,-3.95402,-2.70095,1,13,4.78846378135374
94,2.60039,-2.23017,1,13,3.42573476739251
95,3.80435,1.14015,1,13,3.9715277657766
96,-4.29011,0.86927,1,13,4.37728702980348
100,-2.21794,-3.71958,1,13,4.33065493608881
103,2.49403,1.078,1,13,2.71703180562485
104,0.03758,1.87552,1,13,1.87589727098859
106,2.9835,0.77544,1,13,3.08262916402827
107,0.61467,2.74968,1,13,2.81754267151717
112,-0.93979,3.67523,1,13,3.7934824493217
113,3.40828,-3.3947,1,13,4.81044305847435
114,-1.91121,0.81656,1,13,2.07834304961476
117,1.71785,2.72241,1,13,3.21908988563477
121,-1.98901,0.71014,1,13,2.11197716481534
123,1.20132,2.20749,1,13,2.51320342166573
126,-0.99352,1.92724,1,13,2.16825810094797
127,2.04231,4.56026,1,13,4.99670003460308
128,-0.04394,-4.23284,1,13,4.2330676276429
131,1.812,0.85568,1,13,2.00387433388557
133,3.60278,1.73264,1,13,3.99775635479337
135,-3.13819,-3.68548,1,13,4.84055462904558
136,1.64148,3.79269,1,13,4.13267137484969
141,-4.3153,2.11218,1,13,4.80448892059545
142,1.82273,-1.00889,1,13,2.08331325000371
143,1.5419,-1.82259,1,13,2.38731742072263
146,0.41314,1.63015,1,13,1.68168450799396
147,2.84063,3.86559,1,13,4.79707504364189
149,-2.75513,-0.11876,1,13,2.75768745164726
151,3.59213,-0.76414,1,13,3.67250284313951
152,-3.32226,2.49603,1,13,4.15542407458833
153,2.92828,-2.80248,1,13,4.05323896047145
155,-4.41534,-0.55727,1,13,4.45037191009438
157,0.40208,-1.79067,1,13,1.83525744078777
158,1.86866,-0.79545,1,13,2.03091976876928
159,0.74938,4.68087,1,13,4.74047609034894
160,-3.06647,2.84614,1,13,4.18374525897878
162,2.53109,0.89607,1,13,2.68502231167603
163,1.36158,-3.01466,1,13,3.3078780017674
164,2.33552,-0.85738,1,13,2.48791664622413
165,1.17861,-4.56246,1,13,4.71223916128721
166,-0.19233,-1.72547,1,13,1.7361603450057
167,2.47416,-1.25072,1,13,2.77232237970104
173,0.73053,2.77819,1,13,2.87263487714284
174,1.98213,2.30226,1,13,3.03796543173296
175,-1.33309,1.05336,1,13,1.69902676045008
177,-0.39419,-3.35943,1,13,3.38247687298303
179,2.66677,0.16454,1,13,2.67184555201828
181,2.73178,3.56661,1,13,4.49258639707468
187,0.36573,-1.96792,1,13,2.00161636065761
188,4.04645,-2.00789,1,13,4.51723306140779
190,-4.63446,1.51274,1,13,4.8751001033437
191,2.66652,-2.0844,1,13,3.38453319482321
193,4.55843,0.10009,1,13,4.55952869182876
194,1.00322,-1.89287,1,13,2.14228901675734
195,-4.55595,1.65807,1,13,4.84828304246118
196,-4.5042,-1.02749,1,13,4.61991331457519
198,3.27525,-1.58996,1,13,3.64077899688162
199,-2.24342,-2.78052,1,13,3.57270627685541
200,2.20046,3.96935,1,13,4.53847743928816
202,2.83252,2.03714,1,13,3.48899731872588
205,-0.0389,-3.00003,1,13,3.00028009636082
207,-1.42295,3.27394,1,13,3.56980170587663
208,-3.5006,2.51349,1,13,4.30950596595837
209,1.27215,-1.94068,1,13,2.32047796050925
213,-2.67816,-3.98074,1,13,4.79779683062541
214,1.36263,-1.45207,1,13,1.99129736967839
215,1.58901,-2.27847,1,13,2.77783654109464
216,-2.41445,-3.53657,1,13,4.28216101544032
217,0.28768,2.6067,1,13,2.62252628103842
219,-0.93032,-2.85252,1,13,3.00039159467936
224,2.80694,1.34298,1,13,3.11166717961252
226,-1.28943,-3.64593,1,13,3.867224601407
