id,v_type,x,y,lyr,ei,li,chg_power,set_physical,s_t,Li
1,bus stop,-2.92445,-1.78649,1,238.30672529990096,255.37115019993396,0.0,1.0,0.5,6.193274700099045
2,bus stop,-2.92445,-0.58649,1,239.10961496067418,255.9064099737828,0.0,2.0,0.5,5.390385039325813
3,bus stop,-2.92445,0.61351,1,239.0998009173849,255.89986727825658,0.0,3.0,0.5,5.400199082615095
4,bus stop,-2.92445,1.81351,1,238.281129580868,255.35408638724533,0.0,4.0,0.5,6.218870419131999
5,bus stop,-1.72445,-2.98649,1,238.26758817024793,255.3450587801653,0.0,5.0,0.5,6.232411829752075
6,bus stop,-1.72445,-1.78649,1,240.01265594381871,256.50843729587916,0.0,6.0,0.5,4.487344056181286
7,bus stop,-1.72445,-0.58649,1,241.20821385265594,257.30547590177065,0.0,7.0,0.5,3.291786147344042
8,bus stop,-1.72445,0.61351,1,241.19216758291242,257.2947783886083,0.0,8.0,0.5,3.3078324170875844
9,bus stop,-1.72445,1.81351,1,239.97739516897468,256.4849301126498,0.0,9.0,0.5,4.522604831025323
10,bus stop,-1.72445,3.01351,1,238.22525271313015,255.31683514208677,0.0,10.0,0.5,6.274747286869841
11,bus stop,-0.52445,-2.98649,1,239.02014030456246,255.84676020304164,0.0,11.0,0.5,5.479859695437552
12,bus stop,-0.52445,-1.78649,1,241.13515799113944,257.25677199409296,0.0,12.0,0.5,3.3648420088605695
13,bus stop,-0.52445,0.61351,1,243.0413498138406,258.5275665425604,0.0,13.0,0.5,1.4586501861593866
14,bus stop,-0.52445,1.81351,1,241.0882761653878,257.22551744359185,0.0,14.0,0.5,3.4117238346121903
15,bus stop,-0.52445,3.01351,1,238.97203847877648,255.8146923191843,0.0,15.0,0.5,5.52796152122351
16,bus stop,0.67555,-2.98649,1,238.96636943353488,255.8109129556899,0.0,16.0,0.5,5.533630566465112
17,bus stop,0.67555,-1.78649,1,241.04828061554406,257.198853743696,0.0,17.0,0.5,3.4517193844559393
18,bus stop,0.67555,-0.58649,1,242.8832235558589,258.42214903723925,0.0,18.0,0.5,1.616776444141091
19,bus stop,0.67555,0.61351,1,242.85079857809336,258.4005323853956,0.0,19.0,0.5,1.6492014219066364
20,bus stop,0.67555,1.81351,1,241.00256315452344,257.168375436349,0.0,20.0,0.5,3.497436845476551
21,bus stop,0.67555,3.01351,1,238.91873100947788,255.7791540063186,0.0,21.0,0.5,5.58126899052212
22,bus stop,1.87555,-2.98649,1,238.12665142103918,255.25110094735945,0.0,22.0,0.5,6.373348578960811
23,bus stop,1.87555,-1.78649,1,239.81888137601132,256.3792542506742,0.0,23.0,0.5,4.681118623988681
24,bus stop,1.87555,-0.58649,1,240.94859592088505,257.13239728059006,0.0,24.0,0.5,3.5514040791149504
25,bus stop,1.87555,0.61351,1,240.9337175949115,257.1224783966077,0.0,25.0,0.5,3.5662824050884794
26,bus stop,1.87555,1.81351,1,239.7850695285167,256.3567130190111,0.0,26.0,0.5,4.714930471483303
27,bus stop,1.87555,3.01351,1,238.08524603687806,255.22349735791872,0.0,27.0,0.5,6.414753963121938
28,bus stop,3.07555,-1.78649,1,238.07211727447776,255.21474484965185,0.0,28.0,0.5,6.427882725522238
29,bus stop,3.07555,-0.58649,1,238.84161898646195,255.72774599097465,0.0,29.0,0.5,5.658381013538045
30,bus stop,3.07555,0.61351,1,238.8322689765606,255.72151265104043,0.0,30.0,0.5,5.667731023439378
31,bus stop,3.07555,1.81351,1,238.04745212244532,255.19830141496357,0.0,31.0,0.5,6.45254787755467
32,transit stop,0.0,0.0,1,245.0,260.0,0.0,32.0,0.0,0.0
33,charger,0.0,0.0,0,0.0,0.0,0.83,33.0,0.0,0.0
34,depot,0.0,0.0,0,0.0,265.0,0.0,34.0,0.0,0.0
35,customer,1.33148,0.72979,1,0.0,0.0,0.0,0.0,0.0,0.0
36,customer,1.46836,-2.20288,1,0.0,0.0,0.0,0.0,0.0,0.0
37,customer,1.22913,2.56931,1,0.0,0.0,0.0,0.0,0.0,0.0
38,customer,2.31534,-0.18693,1,0.0,0.0,0.0,0.0,0.0,0.0
39,customer,1.0677,-1.25051,1,0.0,0.0,0.0,0.0,0.0,0.0
40,customer,0.67794,-1.99041,1,0.0,0.0,0.0,0.0,0.0,0.0
41,customer,1.31872,1.79805,1,0.0,0.0,0.0,0.0,0.0,0.0
42,customer,-1.62439,-1.09207,1,0.0,0.0,0.0,0.0,0.0,0.0
43,customer,-1.45719,-2.09335,1,0.0,0.0,0.0,0.0,0.0,0.0
44,customer,-2.10016,0.025,1,0.0,0.0,0.0,0.0,0.0,0.0
45,customer,-1.12111,-2.58487,1,0.0,0.0,0.0,0.0,0.0,0.0
46,customer,-0.93488,1.9669,1,0.0,0.0,0.0,0.0,0.0,0.0
47,customer,-2.00342,1.26056,1,0.0,0.0,0.0,0.0,0.0,0.0
48,customer,0.60659,-1.79085,1,0.0,0.0,0.0,0.0,0.0,0.0
49,customer,1.00422,-1.95939,1,0.0,0.0,0.0,0.0,0.0,0.0
50,customer,-2.67849,1.21204,1,0.0,0.0,0.0,0.0,0.0,0.0
51,customer,1.96063,0.5015,1,0.0,0.0,0.0,0.0,0.0,0.0
52,customer,-2.34394,-1.13249,1,0.0,0.0,0.0,0.0,0.0,0.0
53,customer,-1.39177,1.7537,1,0.0,0.0,0.0,0.0,0.0,0.0
54,customer,2.4321,-0.36808,1,0.0,0.0,0.0,0.0,0.0,0.0
55,customer,-1.83892,-1.66509,1,0.0,0.0,0.0,0.0,0.0,0.0
56,customer,1.41525,1.15105,1,0.0,0.0,0.0,0.0,0.0,0.0
57,customer,-1.91342,-1.30788,1,0.0,0.0,0.0,0.0,0.0,0.0
58,customer,-1.2011,2.17674,1,0.0,0.0,0.0,0.0,0.0,0.0
59,customer,1.57299,-2.54596,1,0.0,0.0,0.0,0.0,0.0,0.0
60,customer,2.44987,-0.92096,1,0.0,0.0,0.0,0.0,0.0,0.0
61,customer,-0.91904,-2.60436,1,0.0,0.0,0.0,0.0,0.0,0.0
62,customer,-1.58548,-0.11243,1,0.0,0.0,0.0,0.0,0.0,0.0
63,customer,0.76163,2.41349,1,0.0,0.0,0.0,0.0,0.0,0.0
64,customer,-2.52998,1.07068,1,0.0,0.0,0.0,0.0,0.0,0.0
65,customer,-1.16391,-2.00906,1,0.0,0.0,0.0,0.0,0.0,0.0
66,customer,-0.47824,1.62488,1,0.0,0.0,0.0,0.0,0.0,0.0
67,customer,-0.78563,-2.2918,1,0.0,0.0,0.0,0.0,0.0,0.0
68,customer,0.57979,2.29686,1,0.0,0.0,0.0,0.0,0.0,0.0
69,customer,0.49334,2.6439,1,0.0,0.0,0.0,0.0,0.0,0.0
70,customer,-1.25224,2.17715,1,0.0,0.0,0.0,0.0,0.0,0.0
71,customer,2.79455,0.06025,1,0.0,0.0,0.0,0.0,0.0,0.0
72,customer,1.91908,1.68567,1,0.0,0.0,0.0,0.0,0.0,0.0
73,customer,-0.58852,-2.2956,1,0.0,0.0,0.0,0.0,0.0,0.0
74,customer,0.08678,2.4469,1,0.0,0.0,0.0,0.0,0.0,0.0
75,customer,-1.86792,-1.7508,1,0.0,0.0,0.0,0.0,0.0,0.0
76,customer,1.99283,0.23143,1,0.0,0.0,0.0,0.0,0.0,0.0
77,customer,-0.51981,-2.49723,1,0.0,0.0,0.0,0.0,0.0,0.0
78,customer,-0.37351,-2.56113,1,0.0,0.0,0.0,0.0,0.0,0.0
79,customer,1.15312,1.88405,1,0.0,0.0,0.0,0.0,0.0,0.0
80,customer,-2.5477,1.38003,1,0.0,0.0,0.0,0.0,0.0,0.0
81,customer,-1.58538,0.64294,1,0.0,0.0,0.0,0.0,0.0,0.0
82,customer,2.42206,-1.05794,1,0.0,0.0,0.0,0.0,0.0,0.0
83,customer,-1.60717,0.05758,1,0.0,0.0,0.0,0.0,0.0,0.0
84,customer,-2.41398,-0.37941,1,0.0,0.0,0.0,0.0,0.0,0.0
85,customer,-1.97012,-1.71186,1,0.0,0.0,0.0,0.0,0.0,0.0
86,customer,-0.60441,2.7845,1,0.0,0.0,0.0,0.0,0.0,0.0
87,customer,-1.13999,1.43496,1,0.0,0.0,0.0,0.0,0.0,0.0
88,customer,2.1893,0.74462,1,0.0,0.0,0.0,0.0,0.0,0.0
89,customer,-0.4907,2.40229,1,0.0,0.0,0.0,0.0,0.0,0.0
90,customer,0.05644,1.85974,1,0.0,0.0,0.0,0.0,0.0,0.0
91,customer,-1.80032,2.38198,1,0.0,0.0,0.0,0.0,0.0,0.0
92,customer,0.69421,-2.54533,1,0.0,0.0,0.0,0.0,0.0,0.0
93,customer,-0.99054,1.99795,1,0.0,0.0,0.0,0.0,0.0,0.0
94,customer,-1.30636,1.72075,1,0.0,0.0,0.0,0.0,0.0,0.0
95,customer,0.46795,-2.12262,1,0.0,0.0,0.0,0.0,0.0,0.0
96,customer,0.58547,-1.92142,1,0.0,0.0,0.0,0.0,0.0,0.0
97,customer,-2.07822,0.93222,1,0.0,0.0,0.0,0.0,0.0,0.0
98,customer,1.17603,2.64682,1,0.0,0.0,0.0,0.0,0.0,0.0
99,customer,1.6168,-2.47612,1,0.0,0.0,0.0,0.0,0.0,0.0
100,customer,-0.19372,-2.30405,1,0.0,0.0,0.0,0.0,0.0,0.0
101,customer,-0.25811,1.76722,1,0.0,0.0,0.0,0.0,0.0,0.0
102,customer,1.58412,1.97665,1,0.0,0.0,0.0,0.0,0.0,0.0
103,customer,-1.25916,2.61848,1,0.0,0.0,0.0,0.0,0.0,0.0
104,customer,-1.90229,2.00727,1,0.0,0.0,0.0,0.0,0.0,0.0
105,customer,-1.54568,0.41777,1,0.0,0.0,0.0,0.0,0.0,0.0
106,customer,-0.2881,2.28833,1,0.0,0.0,0.0,0.0,0.0,0.0
107,customer,-2.07403,0.79994,1,0.0,0.0,0.0,0.0,0.0,0.0
108,customer,1.18119,2.15225,1,0.0,0.0,0.0,0.0,0.0,0.0
109,customer,2.54102,0.71083,1,0.0,0.0,0.0,0.0,0.0,0.0
110,customer,1.04719,2.7979,1,0.0,0.0,0.0,0.0,0.0,0.0
111,customer,-2.20852,0.11068,1,0.0,0.0,0.0,0.0,0.0,0.0
112,customer,1.26054,1.43483,1,0.0,0.0,0.0,0.0,0.0,0.0
113,customer,0.68466,-1.37541,1,0.0,0.0,0.0,0.0,0.0,0.0
114,customer,0.89152,-1.80666,1,0.0,0.0,0.0,0.0,0.0,0.0
115,customer,1.22866,-0.89556,1,0.0,0.0,0.0,0.0,0.0,0.0
116,customer,0.28161,2.92376,1,0.0,0.0,0.0,0.0,0.0,0.0
117,customer,-1.91206,-0.64347,1,0.0,0.0,0.0,0.0,0.0,0.0
118,customer,0.81647,2.6519,1,0.0,0.0,0.0,0.0,0.0,0.0
119,customer,2.25058,-1.392,1,0.0,0.0,0.0,0.0,0.0,0.0
120,customer,-2.36322,-0.92985,1,0.0,0.0,0.0,0.0,0.0,0.0
121,customer,-1.6422,2.40813,1,0.0,0.0,0.0,0.0,0.0,0.0
122,customer,1.72894,1.9621,1,0.0,0.0,0.0,0.0,0.0,0.0
123,customer,1.51459,-0.98521,1,0.0,0.0,0.0,0.0,0.0,0.0
124,customer,1.6354,1.15301,1,0.0,0.0,0.0,0.0,0.0,0.0
125,customer,1.66611,2.20494,1,0.0,0.0,0.0,0.0,0.0,0.0
126,customer,0.10261,2.66872,1,0.0,0.0,0.0,0.0,0.0,0.0
127,customer,-2.77994,-0.13453,1,0.0,0.0,0.0,0.0,0.0,0.0
128,customer,2.77456,0.28812,1,0.0,0.0,0.0,0.0,0.0,0.0
129,customer,2.46391,-1.14568,1,0.0,0.0,0.0,0.0,0.0,0.0
130,customer,1.22751,-2.33801,1,0.0,0.0,0.0,0.0,0.0,0.0
131,customer,-2.21929,0.68314,1,0.0,0.0,0.0,0.0,0.0,0.0
132,customer,1.71983,-1.55938,1,0.0,0.0,0.0,0.0,0.0,0.0
133,customer,-1.46502,2.32872,1,0.0,0.0,0.0,0.0,0.0,0.0
134,customer,1.75399,-0.25155,1,0.0,0.0,0.0,0.0,0.0,0.0
135,customer,2.22724,-1.79898,1,0.0,0.0,0.0,0.0,0.0,0.0
136,customer,-1.26606,1.42679,1,0.0,0.0,0.0,0.0,0.0,0.0
137,customer,-1.26015,1.48328,1,0.0,0.0,0.0,0.0,0.0,0.0
138,customer,0.99206,1.39079,1,0.0,0.0,0.0,0.0,0.0,0.0
139,customer,1.28866,-1.97686,1,0.0,0.0,0.0,0.0,0.0,0.0
140,customer,-1.01434,-2.59619,1,0.0,0.0,0.0,0.0,0.0,0.0
141,customer,1.4915,0.845,1,0.0,0.0,0.0,0.0,0.0,0.0
142,customer,2.18013,1.31401,1,0.0,0.0,0.0,0.0,0.0,0.0
143,customer,1.80797,0.05941,1,0.0,0.0,0.0,0.0,0.0,0.0
144,customer,1.63637,-2.42072,1,0.0,0.0,0.0,0.0,0.0,0.0
145,customer,0.72991,2.83874,1,0.0,0.0,0.0,0.0,0.0,0.0
146,customer,2.00171,0.32549,1,0.0,0.0,0.0,0.0,0.0,0.0
147,customer,0.635,1.5612,1,0.0,0.0,0.0,0.0,0.0,0.0
148,customer,1.62301,-1.68976,1,0.0,0.0,0.0,0.0,0.0,0.0
149,customer,1.95601,-0.90872,1,0.0,0.0,0.0,0.0,0.0,0.0
150,customer,1.10713,1.01447,1,0.0,0.0,0.0,0.0,0.0,0.0
151,customer,0.5943,2.13431,1,0.0,0.0,0.0,0.0,0.0,0.0
152,customer,1.75863,-2.34656,1,0.0,0.0,0.0,0.0,0.0,0.0
153,customer,-0.6495,-2.09126,1,0.0,0.0,0.0,0.0,0.0,0.0
154,customer,-1.11462,2.10403,1,0.0,0.0,0.0,0.0,0.0,0.0
155,customer,-1.50513,0.56284,1,0.0,0.0,0.0,0.0,0.0,0.0
156,customer,-0.40486,1.79965,1,0.0,0.0,0.0,0.0,0.0,0.0
157,customer,0.76507,-2.6387,1,0.0,0.0,0.0,0.0,0.0,0.0
158,customer,-2.71123,-0.80636,1,0.0,0.0,0.0,0.0,0.0,0.0
159,customer,1.73168,0.35693,1,0.0,0.0,0.0,0.0,0.0,0.0
160,customer,2.93189,0.0291,1,0.0,0.0,0.0,0.0,0.0,0.0
161,customer,0.04525,1.54592,1,0.0,0.0,0.0,0.0,0.0,0.0
162,customer,-1.91533,0.00798,1,0.0,0.0,0.0,0.0,0.0,0.0
