passenger_ID,passenger_X,passenger_Y,passenger_StationID,passenger_DepartureTime,DistanceFromStation
1,-2.55888,0.91553,1,13,2.7177313467843
2,1.73836,-1.72593,1,13,2.44963859333046
3,1.33148,0.72979,1,13,1.51836167911928
5,1.22913,2.56931,1,13,2.84817106594748
6,-2.52259,0.5075,1,13,2.5731305088532
7,2.31534,-0.18693,1,13,2.3228696063017
8,1.61786,-2.3649,1,13,2.8653490571052
12,-1.62439,-1.09207,1,13,1.95735954571302
15,-2.31185,-0.94377,1,13,2.49706580111522
18,0.78778,1.28682,1,13,1.50880371483919
20,-2.10016,0.025,1,13,2.10030832468288
22,-0.61605,-1.4076,1,13,1.53650809571149
23,-0.93488,1.9669,1,13,2.17777242791356
24,1.40045,0.66069,1,13,1.54847613125584
25,-0.38704,2.75634,1,13,2.78337619717594
26,2.16977,1.42687,1,13,2.59688881218926
28,-1.24084,-0.99949,1,13,1.59331783625953
29,-2.36297,1.38311,1,13,2.73799736048331
30,0.60659,-1.79085,1,13,1.89079259822808
33,1.96063,0.5015,1,13,2.02374886617675
37,2.72456,-0.51002,1,13,2.7718866196296
38,-1.39177,1.7537,1,13,2.23886213338083
39,0.52306,-2.31299,1,13,2.37139742622358
41,2.4321,-0.36808,1,13,2.45979312392163
42,-1.90773,-2.17316,1,13,2.89172101683465
43,-2.13619,0.26304,1,13,2.15232370657165
46,-1.61938,-2.33589,1,13,2.84232018277359
48,-1.2011,2.17674,1,13,2.48613186912808
50,2.44987,-0.92096,1,13,2.61725715923042
51,-1.07111,-2.11795,1,13,2.37339728092063
52,-2.08328,1.62951,1,13,2.64487729330172
54,-1.58548,-0.11243,1,13,1.58945919148518
55,-2.63131,-0.24631,1,13,2.64281705509669
58,1.7913,-1.46624,1,13,2.3148715680061
62,-0.78563,-2.2918,1,13,2.42271485537943
64,-0.29407,-2.73499,1,13,2.75075101897218
71,2.11266,0.84377,1,13,2.2749254498868
73,1.91908,1.68567,1,13,2.55428228603673
74,-1.54466,-1.66931,1,13,2.27432929163499
75,-0.58852,-2.2956,1,13,2.3698436486307
80,1.99283,0.23143,1,13,2.00622282834515
83,1.02358,-2.70324,1,13,2.89054067631165
84,0.90383,-1.48971,1,13,1.74245149671819
85,-0.37351,-2.56113,1,13,2.58822615178309
86,1.15312,1.88405,1,13,2.20892029320444
87,-2.5477,1.38003,1,13,2.8974613018198
89,-1.85518,-0.88018,1,13,2.05339209043126
90,-1.58538,0.64294,1,13,1.71079209915254
91,2.42206,-1.05794,1,13,2.64303253224297
92,1.55024,0.79736,1,13,1.74328165575085
95,-0.83505,-2.0948,1,13,2.25510457289366
98,-0.60441,2.7845,1,13,2.84933920521049
99,-1.13999,1.43496,1,13,1.83267089449578
103,-1.8911,-1.02303,1,13,2.1500798427217
104,1.9821,0.73877,1,13,2.11530580676079
105,0.92,-2.53037,1,13,2.69242957343607
106,1.4676,2.02002,1,13,2.49686188650606
110,-0.4907,2.40229,1,13,2.45189537997216
111,0.05644,1.85974,1,13,1.86060021233643
113,1.074,-2.62638,1,13,2.83749136486205
114,-1.80032,2.38198,1,13,2.98579808799758
119,-1.62053,1.04198,1,13,1.92661206969676
120,-2.89722,-0.38007,1,13,2.92203799146909
122,-2.07822,0.93222,1,13,2.27772010300597
123,1.17603,2.64682,1,13,2.89632748761772
124,1.15418,-1.42796,1,13,1.83608800895139
125,-1.59902,2.11173,1,13,2.64882659483006
126,-2.35373,1.76433,1,13,2.94157681335277
127,1.6168,-2.47612,1,13,2.95723487035631
131,-0.71686,-1.5253,1,13,1.68535638657445
132,1.13867,-2.38045,1,13,2.63876930739293
133,1.58412,1.97665,1,13,2.53309774469388
135,-0.24389,2.59909,1,13,2.61050277562749
137,-1.90229,2.00727,1,13,2.76547252714239
141,-0.59979,1.57428,1,13,1.68466702659752
144,2.80679,-0.50104,1,13,2.85116309641382
145,1.3935,1.54559,1,13,2.08103555505286
146,1.04764,2.52779,1,13,2.73629021552091
149,1.04719,2.7979,1,13,2.98745022427947
150,-2.20852,0.11068,1,13,2.21128888098351
152,0.68466,-1.37541,1,13,1.53639946636307
154,1.22866,-0.89556,1,13,1.52040517986654
155,1.88283,2.25964,1,13,2.94125796245411
156,1.09208,-1.04878,1,13,1.51412360715952
157,-1.15523,-2.31392,1,13,2.58626220669961
160,0.28161,2.92376,1,13,2.93729415019262
163,2.25058,-1.392,1,13,2.64627863539237
164,-2.36322,-0.92985,1,13,2.53956967709176
165,-1.6422,2.40813,1,13,2.91477805958553
166,1.72894,1.9621,1,13,2.61516642220527
167,-2.00023,0.95746,1,13,2.21757900685291
168,1.51459,-0.98521,1,13,1.80682169776976
173,0.10261,2.66872,1,13,2.67069603008182
174,-1.48593,2.56511,1,13,2.96441757615193
175,-2.77994,-0.13453,1,13,2.78319483427605
177,2.46391,-1.14568,1,13,2.71725241149118
180,1.22751,-2.33801,1,13,2.64066141552783
183,1.71983,-1.55938,1,13,2.32152231637974
185,-1.236,1.10681,1,13,1.65913381681007
187,-2.58593,-1.37822,1,13,2.93027165877015
189,1.75399,-0.25155,1,13,1.77193686156008
190,2.22724,-1.79898,1,13,2.86302352485011
192,-2.44331,-0.07473,1,13,2.44445569577089
197,0.99206,1.39079,1,13,1.70835857202746
198,-0.8212,-1.71141,1,13,1.89822991300894
203,-2.92445,0.08764,1,13,2.92576575534511
206,2.18013,1.31401,1,13,2.54550496662956
207,-0.45204,-1.64373,1,13,1.70475815052812
208,0.60409,-1.58297,1,13,1.6943205811673
210,1.63637,-2.42072,1,13,2.92191713751311
211,0.72991,2.83874,1,13,2.9310770952661
213,2.39868,0.83654,1,13,2.54036451412531
218,2.84575,-0.79495,1,13,2.95470133985089
223,1.37675,-0.76737,1,13,1.57616961682914
224,1.10713,1.01447,1,13,1.50162618909829
234,-0.09839,2.65451,1,13,2.65632991605842
236,-0.40486,1.79965,1,13,1.84462619132816
239,1.73168,0.35693,1,13,1.76808153092792
241,-1.47776,1.66952,1,13,2.22959111390611
247,1.75793,-1.3514,1,13,2.21734051517959
250,-2.3769,-1.25082,1,13,2.68592689491834
251,-0.69796,2.54532,1,13,2.63928078030611
252,2.69253,0.41,1,13,2.72356376937488
253,-2.40093,1.59713,1,13,2.88362474751151
254,1.6796,0.19066,1,13,1.69038938756751
256,1.1537,2.09284,1,13,2.38976864345454
258,-0.92978,-1.39442,1,13,1.67598175153933
259,-1.48244,0.48028,1,13,1.55829793431966
