cus,pickup_bus_node,drop_off_transit_node,ride_time,cus_walking_time
16,1,13,5.407735381196176,3.42
17,2,13,2.62168814786682,4.547806866404691
18,8,13,2.1526493111413174,1.7281687810049522
19,11,13,3.1449090580343864,8.068463649351072
20,1,13,5.407735381196176,3.7165697024193083
21,3,13,1.9196703778028166,5.667543367286148
22,6,13,1.601705189933341,2.936210758678125
23,3,13,1.9196703778028166,2.3390777734931847
24,7,13,2.3064901960623843,10.696060458998938
25,3,13,1.9196703778028166,0.7630459903511728
26,8,13,2.1526493111413174,9.62926195722343
27,8,13,2.1526493111413174,11.197443398887101
28,8,13,2.1526493111413174,10.871554442672863
29,5,13,1.8031798255398996,10.110857960919159
30,5,13,1.8031798255398996,6.703861298125004
31,11,13,3.1449090580343864,10.247196230590847
32,4,13,5.224179936624864,2.332823529411765
33,2,13,2.62168814786682,7.479891072056262
34,5,13,1.8031798255398996,1.5867280778632438
35,2,13,2.62168814786682,5.479809312723047
