busStop_ID,busStop_X,busStop_Y
1,-13.11188,-4.83344
2,-13.11188,-3.43344
3,-11.71188,-4.83344
4,-11.71188,4.96656
5,-11.71188,7.76656
6,-10.31188,-9.03344
7,-10.31188,2.16656
8,-10.31188,3.56656
9,-10.31188,6.36656
10,-10.31188,7.76656
11,-10.31188,9.16656
12,-8.91188,-7.63344
13,-8.91188,2.16656
14,-8.91188,3.56656
15,-8.91188,4.96656
16,-8.91188,6.36656
17,-8.91188,9.16656
18,-7.51188,-7.63344
19,-7.51188,-3.43344
20,-7.51188,6.36656
21,-7.51188,10.56656
22,-7.51188,11.96656
23,-6.11188,-6.23344
24,-6.11188,-4.83344
25,-6.11188,-3.43344
26,-6.11188,6.36656
27,-4.71188,-11.83344
28,-4.71188,-4.83344
29,-4.71188,-3.43344
30,-4.71188,-2.03344
31,-4.71188,-0.63344
32,-4.71188,3.56656
33,-4.71188,4.96656
34,-4.71188,6.36656
35,-4.71188,9.16656
36,-4.71188,10.56656
37,-4.71188,11.96656
38,-3.31188,-0.63344
39,-3.31188,2.16656
40,-3.31188,7.76656
41,-3.31188,14.76656
42,-1.91188,-13.23344
43,-1.91188,-10.43344
44,-1.91188,-4.83344
45,-1.91188,0.76656
46,-1.91188,2.16656
47,-1.91188,7.76656
48,-1.91188,14.76656
49,-0.51188,-13.23344
50,-0.51188,-10.43344
51,-0.51188,-9.03344
52,-0.51188,2.16656
53,-0.51188,3.56656
54,-0.51188,4.96656
55,-0.51188,7.76656
56,-0.51188,10.56656
57,-0.51188,13.36656
58,-0.51188,14.76656
59,0.88812,-10.43344
60,0.88812,-2.03344
61,0.88812,0.76656
62,0.88812,2.16656
63,0.88812,4.96656
64,0.88812,6.36656
65,0.88812,7.76656
66,0.88812,9.16656
67,0.88812,10.56656
68,0.88812,11.96656
69,0.88812,13.36656
70,2.28812,-14.63344
71,2.28812,-6.23344
72,2.28812,-2.03344
73,2.28812,-0.63344
74,2.28812,0.76656
75,2.28812,2.16656
76,2.28812,4.96656
77,2.28812,9.16656
78,2.28812,10.56656
79,2.28812,13.36656
80,2.28812,14.76656
81,3.68812,-9.03344
82,3.68812,-7.63344
83,3.68812,-6.23344
84,3.68812,-3.43344
85,3.68812,-2.03344
86,3.68812,-0.63344
87,3.68812,0.76656
88,3.68812,2.16656
89,3.68812,4.96656
90,3.68812,9.16656
91,3.68812,13.36656
92,5.08812,-13.23344
93,5.08812,-11.83344
94,5.08812,-10.43344
95,5.08812,-3.43344
96,5.08812,-2.03344
97,5.08812,-0.63344
98,5.08812,2.16656
99,5.08812,6.36656
100,5.08812,7.76656
101,5.08812,9.16656
102,6.48812,-7.63344
103,6.48812,-6.23344
104,6.48812,-0.63344
105,6.48812,0.76656
106,6.48812,2.16656
107,6.48812,7.76656
108,6.48812,13.36656
109,7.88812,-7.63344
110,7.88812,0.76656
111,7.88812,4.96656
112,7.88812,6.36656
113,7.88812,7.76656
114,9.28812,-2.03344
115,9.28812,-0.63344
116,9.28812,0.76656
117,9.28812,2.16656
118,9.28812,3.56656
119,9.28812,9.16656
120,9.28812,10.56656
121,10.68812,-2.03344
122,10.68812,-0.63344
123,10.68812,0.76656
124,10.68812,3.56656
125,10.68812,4.96656
126,10.68812,6.36656
127,10.68812,10.56656
128,12.08812,-7.63344
129,12.08812,-6.23344
130,12.08812,-3.43344
131,12.08812,4.96656
132,12.08812,6.36656
133,13.48812,2.16656
134,14.88812,2.16656
