id,v_type,x,y,lyr,ei,li,chg_power,set_physical,s_t,Li
1,bus stop,-19.47903,-3.36806,1,208.77457931126997,235.68305287417996,0.0,1.0,0.5,35.72542068873004
2,bus stop,-19.47903,0.83194,1,209.2648413537456,236.0098942358304,0.0,2.0,0.5,35.235158646254405
3,bus stop,-19.47903,2.23194,1,209.06659743614335,235.87773162409556,0.0,3.0,0.5,35.433402563856646
4,bus stop,-19.47903,3.63194,1,208.69024366203996,235.62682910802664,0.0,4.0,0.5,35.80975633796004
5,bus stop,-18.07903,-3.36806,1,211.26491018408353,237.34327345605567,0.0,5.0,0.5,33.235089815916474
6,bus stop,-18.07903,-1.96806,1,211.63403356693703,237.58935571129138,0.0,6.0,0.5,32.86596643306295
7,bus stop,-18.07903,-0.56806,1,211.81092960342025,237.70728640228018,0.0,7.0,0.5,32.689070396579744
8,bus stop,-18.07903,0.83194,1,211.79247920566263,237.6949861371084,0.0,8.0,0.5,32.70752079433738
9,bus stop,-18.07903,3.63194,1,211.17427179086158,237.28284786057438,0.0,9.0,0.5,33.32572820913842
10,bus stop,-18.07903,5.03194,1,210.5851092924177,236.89007286161183,0.0,10.0,0.5,33.91489070758228
11,bus stop,-18.07903,6.43194,1,209.8209215512973,236.3806143675315,0.0,11.0,0.5,34.67907844870272
12,bus stop,-18.07903,7.83194,1,208.89297580951978,235.76198387301318,0.0,12.0,0.5,35.60702419048023
13,bus stop,-16.67903,-10.36806,1,209.0079974766195,235.83866498441301,0.0,13.0,0.5,35.4920025233805
14,bus stop,-16.67903,-8.96806,1,210.27621147365284,236.68414098243522,0.0,14.0,0.5,34.223788526347164
15,bus stop,-16.67903,-4.76806,1,213.14968595273047,238.59979063515362,0.0,15.0,0.5,31.350314047269542
16,bus stop,-16.67903,-3.36806,1,213.74874431728892,238.9991628781926,0.0,16.0,0.5,30.751255682711083
17,bus stop,-16.67903,-1.96806,1,214.14805969018363,239.2653731267891,0.0,17.0,0.5,30.351940309816378
18,bus stop,-16.67903,2.23194,1,214.08848803612267,239.22565869074845,0.0,18.0,0.5,30.411511963877324
19,bus stop,-16.67903,3.63194,1,213.65080727699993,238.93387151799996,0.0,19.0,0.5,30.849192723000066
20,bus stop,-16.67903,6.43194,1,212.19354533467478,237.96236355644987,0.0,20.0,0.5,32.30645466532521
21,bus stop,-16.67903,9.23194,1,210.0478097699263,236.53187317995085,0.0,21.0,0.5,34.452190230073725
22,bus stop,-15.27903,-11.76806,1,209.64642981347708,236.26428654231805,0.0,22.0,0.5,34.853570186522916
23,bus stop,-15.27903,-4.76806,1,215.57399541658057,240.21599694438706,0.0,23.0,0.5,28.926004583419427
24,bus stop,-15.27903,-3.36806,1,216.22436956739875,240.64957971159916,0.0,24.0,0.5,28.27563043260126
25,bus stop,-15.27903,-0.56806,1,216.86821748997076,241.07881165998052,0.0,25.0,0.5,27.631782510029236
26,bus stop,-15.27903,0.83194,1,216.84639268013984,241.0642617867599,0.0,26.0,0.5,27.65360731986016
27,bus stop,-15.27903,2.23194,1,216.59423697107297,240.89615798071532,0.0,27.0,0.5,27.905763028927012
28,bus stop,-15.27903,5.03194,1,215.428366179448,240.11891078629867,0.0,28.0,0.5,29.071633820551988
29,bus stop,-15.27903,6.43194,1,214.54038445940455,239.52692297293635,0.0,29.0,0.5,29.959615540595458
30,bus stop,-15.27903,9.23194,1,212.23818105024512,237.9921207001634,0.0,30.0,0.5,32.26181894975488
31,bus stop,-15.27903,13.43194,1,207.73429308917716,234.98952872611812,0.0,31.0,0.5,36.765706910822836
32,bus stop,-13.87903,-11.76806,1,211.6146548695229,237.5764365796819,0.0,32.0,0.5,32.88534513047712
33,bus stop,-13.87903,-10.36806,1,213.19140113290058,238.62760075526705,0.0,33.0,0.5,31.308598867099427
34,bus stop,-13.87903,-8.96806,1,214.63674798355973,239.59116532237317,0.0,34.0,0.5,29.863252016440264
35,bus stop,-13.87903,-6.16806,1,217.05198012845347,241.20132008563564,0.0,35.0,0.5,27.44801987154652
