busStop_ID,busStop_X,busStop_Y
1,-19.65416,-4.37123
2,-19.65416,-2.97123
3,-19.65416,-1.57123
4,-19.65416,-0.17123
5,-19.65416,1.22877
6,-19.65416,2.62877
7,-19.65416,4.02877
8,-19.65416,5.42877
9,-18.25416,-8.57123
10,-18.25416,-4.37123
11,-18.25416,-2.97123
12,-18.25416,-1.57123
13,-18.25416,-0.17123
14,-18.25416,2.62877
15,-18.25416,5.42877
16,-18.25416,6.82877
17,-18.25416,9.62877
18,-16.85416,-9.97123
19,-16.85416,-7.17123
20,-16.85416,-5.77123
21,-16.85416,-4.37123
22,-16.85416,-2.97123
23,-16.85416,-1.57123
24,-16.85416,-0.17123
25,-16.85416,1.22877
26,-16.85416,2.62877
27,-16.85416,4.02877
28,-16.85416,5.42877
29,-16.85416,8.22877
30,-16.85416,9.62877
31,-16.85416,11.02877
32,-15.45416,-9.97123
33,-15.45416,-8.57123
34,-15.45416,-7.17123
35,-15.45416,-5.77123
36,-15.45416,-4.37123
37,-15.45416,-2.97123
38,-15.45416,-1.57123
39,-15.45416,-0.17123
40,-15.45416,1.22877
41,-15.45416,2.62877
42,-15.45416,5.42877
43,-15.45416,9.62877
44,-14.05416,-14.17123
45,-14.05416,-12.77123
46,-14.05416,-11.37123
47,-14.05416,-9.97123
48,-14.05416,-7.17123
49,-14.05416,-5.77123
50,-14.05416,-4.37123
51,-14.05416,-1.57123
52,-14.05416,-0.17123
53,-14.05416,1.22877
54,-14.05416,2.62877
55,-14.05416,4.02877
56,-14.05416,5.42877
57,-14.05416,6.82877
58,-14.05416,8.22877
59,-14.05416,13.82877
60,-12.65416,-14.17123
61,-12.65416,-12.77123
62,-12.65416,-8.57123
63,-12.65416,-7.17123
64,-12.65416,-5.77123
65,-12.65416,-4.37123
66,-12.65416,-1.57123
67,-12.65416,-0.17123
68,-12.65416,2.62877
69,-12.65416,9.62877
70,-12.65416,11.02877
71,-12.65416,12.42877
72,-12.65416,15.22877
73,-11.25416,-14.17123
74,-11.25416,-12.77123
75,-11.25416,-8.57123
76,-11.25416,-7.17123
77,-11.25416,-4.37123
78,-11.25416,-1.57123
79,-11.25416,-0.17123
80,-11.25416,4.02877
81,-11.25416,9.62877
82,-11.25416,12.42877
83,-11.25416,13.82877
84,-11.25416,15.22877
85,-9.85416,-16.97123
86,-9.85416,-15.57123
87,-9.85416,-12.77123
88,-9.85416,-8.57123
89,-9.85416,-7.17123
90,-9.85416,-2.97123
91,-9.85416,-1.57123
92,-9.85416,-0.17123
93,-9.85416,1.22877
94,-9.85416,4.02877
95,-9.85416,5.42877
96,-9.85416,6.82877
97,-9.85416,8.22877
98,-9.85416,9.62877
99,-9.85416,11.02877
100,-9.85416,12.42877
101,-9.85416,13.82877
102,-9.85416,15.22877
103,-9.85416,16.62877
104,-8.45416,-15.57123
105,-8.45416,-12.77123
106,-8.45416,-11.37123
107,-8.45416,-9.97123
108,-8.45416,-8.57123
109,-8.45416,-5.77123
110,-8.45416,-4.37123
111,-8.45416,-2.97123
112,-8.45416,-1.57123
113,-8.45416,-0.17123
114,-8.45416,1.22877
115,-8.45416,6.82877
116,-8.45416,8.22877
117,-8.45416,12.42877
118,-8.45416,13.82877
119,-8.45416,16.62877
120,-8.45416,18.02877
121,-7.05416,-18.37123
122,-7.05416,-16.97123
123,-7.05416,-15.57123
124,-7.05416,-14.17123
125,-7.05416,-11.37123
126,-7.05416,-9.97123
127,-7.05416,-8.57123
128,-7.05416,-7.17123
129,-7.05416,1.22877
130,-7.05416,4.02877
131,-7.05416,5.42877
132,-7.05416,12.42877
133,-7.05416,13.82877
134,-7.05416,15.22877
135,-5.65416,-16.97123
136,-5.65416,-15.57123
137,-5.65416,-14.17123
138,-5.65416,-12.77123
139,-5.65416,-11.37123
140,-5.65416,-9.97123
141,-5.65416,-7.17123
142,-5.65416,-4.37123
143,-5.65416,-2.97123
144,-5.65416,-1.57123
145,-5.65416,1.22877
146,-5.65416,4.02877
147,-5.65416,5.42877
148,-5.65416,6.82877
149,-5.65416,8.22877
150,-5.65416,9.62877
151,-5.65416,11.02877
152,-5.65416,13.82877
153,-5.65416,18.02877
154,-5.65416,19.42877
155,-4.25416,-19.77123
156,-4.25416,-18.37123
157,-4.25416,-15.57123
158,-4.25416,-14.17123
159,-4.25416,-12.77123
160,-4.25416,-11.37123
161,-4.25416,-9.97123
162,-4.25416,-8.57123
163,-4.25416,-2.97123
164,-4.25416,-1.57123
165,-4.25416,-0.17123
166,-4.25416,5.42877
167,-4.25416,6.82877
168,-4.25416,8.22877
169,-4.25416,11.02877
170,-4.25416,12.42877
171,-4.25416,13.82877
172,-4.25416,16.62877
173,-4.25416,18.02877
174,-4.25416,19.42877
175,-2.85416,-18.37123
176,-2.85416,-16.97123
177,-2.85416,-15.57123
178,-2.85416,-14.17123
179,-2.85416,-12.77123
180,-2.85416,-11.37123
181,-2.85416,-8.57123
182,-2.85416,-7.17123
183,-2.85416,-5.77123
184,-2.85416,-4.37123
185,-2.85416,-2.97123
186,-2.85416,-1.57123
187,-2.85416,-0.17123
188,-2.85416,1.22877
189,-2.85416,2.62877
190,-2.85416,4.02877
191,-2.85416,5.42877
192,-2.85416,9.62877
193,-2.85416,11.02877
194,-2.85416,13.82877
195,-2.85416,15.22877
196,-2.85416,16.62877
197,-2.85416,18.02877
198,-2.85416,19.42877
199,-1.45416,-18.37123
200,-1.45416,-16.97123
201,-1.45416,-15.57123
202,-1.45416,-14.17123
203,-1.45416,-12.77123
204,-1.45416,-11.37123
205,-1.45416,-9.97123
206,-1.45416,-8.57123
207,-1.45416,-7.17123
208,-1.45416,-4.37123
209,-1.45416,-2.97123
210,-1.45416,-1.57123
211,-1.45416,4.02877
212,-1.45416,5.42877
213,-1.45416,8.22877
214,-1.45416,9.62877
215,-1.45416,11.02877
216,-1.45416,13.82877
217,-1.45416,15.22877
218,-1.45416,16.62877
219,-1.45416,18.02877
220,-1.45416,19.42877
221,-0.05416,-19.77123
222,-0.05416,-18.37123
223,-0.05416,-16.97123
224,-0.05416,-15.57123
225,-0.05416,-14.17123
226,-0.05416,-12.77123
227,-0.05416,-9.97123
228,-0.05416,-8.57123
229,-0.05416,-7.17123
230,-0.05416,-5.77123
231,-0.05416,1.22877
232,-0.05416,2.62877
233,-0.05416,4.02877
234,-0.05416,5.42877
235,-0.05416,6.82877
236,-0.05416,9.62877
237,-0.05416,11.02877
238,-0.05416,13.82877
239,-0.05416,15.22877
240,-0.05416,16.62877
241,-0.05416,18.02877
242,-0.05416,19.42877
243,1.34584,-19.77123
244,1.34584,-15.57123
245,1.34584,-14.17123
246,1.34584,-12.77123
247,1.34584,-9.97123
248,1.34584,-8.57123
249,1.34584,-7.17123
250,1.34584,2.62877
251,1.34584,8.22877
252,1.34584,9.62877
253,1.34584,11.02877
254,1.34584,12.42877
255,1.34584,15.22877
256,1.34584,16.62877
257,1.34584,19.42877
258,2.74584,-15.57123
259,2.74584,-14.17123
260,2.74584,-12.77123
261,2.74584,-9.97123
262,2.74584,-8.57123
263,2.74584,-7.17123
264,2.74584,-5.77123
265,2.74584,-4.37123
266,2.74584,-2.97123
267,2.74584,-1.57123
268,2.74584,-0.17123
269,2.74584,5.42877
270,2.74584,6.82877
271,2.74584,8.22877
272,2.74584,11.02877
273,2.74584,12.42877
274,2.74584,13.82877
275,2.74584,16.62877
276,2.74584,18.02877
277,4.14584,-18.37123
278,4.14584,-16.97123
279,4.14584,-15.57123
280,4.14584,-14.17123
281,4.14584,-11.37123
282,4.14584,-9.97123
283,4.14584,-8.57123
284,4.14584,-7.17123
285,4.14584,-5.77123
286,4.14584,-4.37123
287,4.14584,-2.97123
288,4.14584,-1.57123
289,4.14584,-0.17123
290,4.14584,2.62877
291,4.14584,4.02877
292,4.14584,11.02877
293,4.14584,12.42877
294,4.14584,13.82877
295,4.14584,15.22877
296,4.14584,16.62877
297,4.14584,18.02877
298,5.54584,-19.77123
299,5.54584,-18.37123
300,5.54584,-16.97123
301,5.54584,-15.57123
302,5.54584,-14.17123
303,5.54584,-12.77123
304,5.54584,-11.37123
305,5.54584,-9.97123
306,5.54584,-8.57123
307,5.54584,-5.77123
308,5.54584,-4.37123
309,5.54584,-2.97123
310,5.54584,-1.57123
311,5.54584,-0.17123
312,5.54584,4.02877
313,5.54584,5.42877
314,5.54584,6.82877
315,5.54584,8.22877
316,5.54584,11.02877
317,5.54584,12.42877
318,5.54584,13.82877
319,5.54584,15.22877
320,5.54584,16.62877
321,5.54584,18.02877
322,5.54584,19.42877
323,6.94584,-16.97123
324,6.94584,-15.57123
325,6.94584,-11.37123
326,6.94584,-8.57123
327,6.94584,-7.17123
328,6.94584,-5.77123
329,6.94584,-4.37123
330,6.94584,-2.97123
331,6.94584,-1.57123
332,6.94584,1.22877
333,6.94584,2.62877
334,6.94584,4.02877
335,6.94584,6.82877
336,6.94584,8.22877
337,6.94584,12.42877
338,6.94584,13.82877
339,6.94584,16.62877
340,8.34584,-18.37123
341,8.34584,-16.97123
342,8.34584,-11.37123
343,8.34584,-9.97123
344,8.34584,-8.57123
345,8.34584,-5.77123
346,8.34584,-4.37123
347,8.34584,-2.97123
348,8.34584,-1.57123
349,8.34584,-0.17123
350,8.34584,1.22877
351,8.34584,2.62877
352,8.34584,4.02877
353,8.34584,5.42877
354,8.34584,6.82877
355,8.34584,8.22877
356,8.34584,11.02877
357,8.34584,12.42877
358,8.34584,13.82877
359,8.34584,15.22877
360,8.34584,16.62877
361,9.74584,-11.37123
362,9.74584,-8.57123
363,9.74584,-4.37123
364,9.74584,-2.97123
365,9.74584,-0.17123
366,9.74584,4.02877
367,9.74584,5.42877
368,9.74584,9.62877
369,9.74584,11.02877
370,9.74584,12.42877
371,9.74584,13.82877
372,9.74584,15.22877
373,9.74584,16.62877
374,11.14584,-15.57123
375,11.14584,-14.17123
376,11.14584,-12.77123
377,11.14584,-9.97123
378,11.14584,-8.57123
379,11.14584,-5.77123
380,11.14584,-2.97123
381,11.14584,-0.17123
382,11.14584,2.62877
383,11.14584,5.42877
384,11.14584,6.82877
385,11.14584,9.62877
386,11.14584,11.02877
387,11.14584,12.42877
388,11.14584,13.82877
389,11.14584,16.62877
390,12.54584,-14.17123
391,12.54584,-12.77123
392,12.54584,-9.97123
393,12.54584,-8.57123
394,12.54584,-7.17123
395,12.54584,-5.77123
396,12.54584,-4.37123
397,12.54584,-0.17123
398,12.54584,1.22877
399,12.54584,2.62877
400,12.54584,6.82877
401,12.54584,8.22877
402,12.54584,9.62877
403,12.54584,11.02877
404,12.54584,12.42877
405,13.94584,-14.17123
406,13.94584,-12.77123
407,13.94584,-11.37123
408,13.94584,-9.97123
409,13.94584,-7.17123
410,13.94584,-5.77123
411,13.94584,-4.37123
412,13.94584,-2.97123
413,13.94584,-1.57123
414,13.94584,2.62877
415,13.94584,4.02877
416,13.94584,5.42877
417,13.94584,6.82877
418,13.94584,8.22877
419,13.94584,9.62877
420,13.94584,11.02877
421,15.34584,-12.77123
422,15.34584,-11.37123
423,15.34584,-9.97123
424,15.34584,-8.57123
425,15.34584,-7.17123
426,15.34584,-5.77123
427,15.34584,-4.37123
428,15.34584,-1.57123
429,15.34584,1.22877
430,15.34584,2.62877
431,15.34584,8.22877
432,15.34584,11.02877
433,15.34584,12.42877
434,16.74584,-7.17123
435,16.74584,-5.77123
436,16.74584,-4.37123
437,16.74584,-1.57123
438,16.74584,-0.17123
439,16.74584,1.22877
440,16.74584,5.42877
441,16.74584,6.82877
442,16.74584,11.02877
443,18.14584,-5.77123
444,18.14584,-4.37123
445,18.14584,-2.97123
446,18.14584,-1.57123
447,18.14584,-0.17123
448,18.14584,1.22877
449,18.14584,2.62877
450,18.14584,6.82877
451,18.14584,8.22877
452,19.54584,-4.37123
453,19.54584,-2.97123
454,19.54584,1.22877
455,19.54584,5.42877
