cus,pickup_bus_node,drop_off_transit_node,ride_time,cus_walking_time
69,3,66,23.393818829801205,4.33790373369075
70,28,66,4.206450467184709,7.268129880407854
71,14,66,15.08166792132343,3.382781415315831
72,23,66,21.652833722259146,5.749365832337373
73,51,66,12.58845872125056,4.396987710619127
74,17,66,12.051833903510271,7.928451710077518
75,63,66,15.118578479990276,3.7232507971220374
76,58,66,24.103422702538467,9.986557140947625
77,36,66,3.397679219892467,8.418808075479848
78,48,66,10.074787544786204,9.213378472574144
79,53,66,18.733461218208163,5.232444142973966
80,18,66,6.645382966887638,2.7927369666164217
81,37,66,24.504780662704235,7.817288119055866
82,9,66,18.415954196358285,10.563594067659812
83,11,66,22.2894481722619,3.6116701424677684
84,56,66,28.375103628441735,9.404220509484206
85,20,66,5.212150120933501,6.3894773194076615
86,44,66,12.0501434547121,1.7771129730636472
87,35,66,17.15338824571745,6.593885019772428
88,24,66,19.144363428533126,5.1527673889576935
89,62,66,29.532542111940757,3.216349483498336
90,44,66,12.0501434547121,9.734900059556345
91,64,66,27.964781573706034,8.439761567828757
92,26,66,6.174564203011528,9.026830584123285
93,44,66,12.0501434547121,10.976222358961039
94,3,66,23.393818829801205,7.804178415026401
95,60,66,21.969683248653382,4.307258418821089
96,15,66,10.922374856651714,10.983028947971151
97,46,66,22.318033674752428,9.835596472273446
98,15,66,10.922374856651714,9.696262690293077
99,4,66,25.580565817753012,4.961563216383826
100,61,66,15.41375774939496,6.691693497801002
101,31,66,11.619716847380431,4.068929155267788
102,50,66,12.275033304353087,9.850410724754928
103,34,66,22.047966419655808,1.065526943732574
104,54,66,16.546714230256356,5.8894861044402145
105,7,66,12.852136963187547,3.0874639731448017
106,41,66,5.04428464901261,10.667526079853745
107,15,66,10.922374856651714,11.181826196709801
108,25,66,11.094966091177469,9.136024640311222
109,1,66,19.577625658284404,5.525660855433797
110,8,66,17.67664117954348,5.539140670114976
111,56,66,28.375103628441735,6.017772038262854
112,35,66,17.15338824571745,11.691147830967513
113,13,66,17.268414909275236,10.785125297448376
114,33,66,26.69152765065604,7.28820119538147
115,5,66,27.84968913611732,7.675546698516495
