busStop_ID,busStop_X,busStop_Y
1,-14.5689,-3.47947
2,-14.5689,0.72053
3,-13.1689,0.72053
4,-13.1689,2.12053
5,-11.7689,7.72053
6,-10.3689,-7.67947
7,-10.3689,-6.27947
8,-10.3689,-4.87947
9,-10.3689,-3.47947
10,-10.3689,-2.07947
11,-10.3689,2.12053
12,-10.3689,3.52053
13,-10.3689,6.32053
14,-8.9689,-4.87947
15,-8.9689,-0.67947
16,-8.9689,4.92053
17,-8.9689,10.52053
18,-8.9689,11.92053
19,-7.5689,-0.67947
20,-7.5689,3.52053
21,-7.5689,7.72053
22,-7.5689,9.12053
23,-7.5689,10.52053
24,-6.1689,-7.67947
25,-6.1689,-6.27947
26,-6.1689,2.12053
27,-6.1689,3.52053
28,-6.1689,6.32053
29,-6.1689,7.72053
30,-6.1689,10.52053
31,-6.1689,11.92053
32,-4.7689,-10.47947
33,-4.7689,-7.67947
34,-4.7689,-6.27947
35,-4.7689,7.72053
36,-4.7689,10.52053
37,-4.7689,11.92053
38,-3.3689,-13.27947
39,-3.3689,-7.67947
40,-3.3689,-6.27947
41,-3.3689,10.52053
42,-3.3689,11.92053
43,-3.3689,14.72053
44,-3.3689,16.12053
45,-1.9689,-13.27947
46,-1.9689,-2.07947
47,-1.9689,7.72053
48,-1.9689,9.12053
49,-1.9689,11.92053
50,-0.5689,-16.07947
51,-0.5689,-14.67947
52,-0.5689,-6.27947
53,-0.5689,-4.87947
54,-0.5689,-3.47947
55,-0.5689,-2.07947
56,-0.5689,2.12053
57,-0.5689,3.52053
58,-0.5689,7.72053
59,-0.5689,9.12053
60,0.8311,-16.07947
61,0.8311,-7.67947
62,0.8311,-6.27947
63,0.8311,-4.87947
64,0.8311,-3.47947
65,0.8311,0.72053
66,0.8311,3.52053
67,0.8311,7.72053
68,0.8311,14.72053
69,2.2311,-14.67947
70,2.2311,0.72053
71,2.2311,4.92053
72,3.6311,-16.07947
73,3.6311,-14.67947
74,3.6311,4.92053
75,3.6311,7.72053
76,3.6311,11.92053
77,3.6311,13.32053
78,3.6311,16.12053
79,5.0311,-14.67947
80,5.0311,4.92053
81,5.0311,9.12053
82,6.4311,-9.07947
83,6.4311,-7.67947
84,7.8311,-13.27947
85,7.8311,-11.87947
86,7.8311,-10.47947
87,9.2311,-4.87947
88,9.2311,-2.07947
89,9.2311,-0.67947
90,9.2311,4.92053
91,9.2311,6.32053
92,9.2311,9.12053
93,10.6311,-11.87947
94,10.6311,2.12053
95,10.6311,3.52053
96,10.6311,9.12053
97,12.0311,-10.47947
98,13.4311,6.32053
99,14.8311,0.72053
100,14.8311,6.32053
101,16.2311,-2.07947
102,16.2311,-0.67947
