id,v_type,x,y,lyr,ei,li,chg_power,set_physical,s_t,Li
1,bus stop,-27.87917,-4.25386,1,193.53282999792697,225.52188666528463,0.0,1.0,0.5,50.96717000207304
2,bus stop,-23.67917,4.14614,1,201.0552705161858,230.53684701079052,0.0,2.0,0.5,43.44472948381421
3,bus stop,-23.67917,18.14614,1,190.58561824535437,223.55707883023626,0.0,3.0,0.5,53.914381754645625
4,bus stop,-22.27917,18.14614,1,192.5710511039304,224.88070073595358,0.0,4.0,0.5,51.92894889606961
5,bus stop,-22.27917,19.54614,1,190.93728961636867,223.79152641091244,0.0,5.0,0.5,53.56271038363134
6,bus stop,-20.87917,2.74614,1,206.4415858405108,234.12772389367387,0.0,6.0,0.5,38.0584141594892
7,bus stop,-20.87917,4.14614,1,206.0297792291515,233.85318615276765,0.0,7.0,0.5,38.470220770848506
8,bus stop,-20.87917,11.14614,1,201.72643146915368,230.98428764610247,0.0,8.0,0.5,42.77356853084631
9,bus stop,-20.87917,12.54614,1,200.47828628367063,230.15219085578042,0.0,9.0,0.5,44.02171371632939
10,bus stop,-19.47917,-11.25386,1,203.84387888615063,232.39591925743375,0.0,10.0,0.5,40.656121113849366
11,bus stop,-19.47917,-9.85386,1,205.0487010507233,233.19913403381554,0.0,11.0,0.5,39.451298949276705
12,bus stop,-19.47917,9.74614,1,205.13619324065678,233.25746216043785,0.0,12.0,0.5,39.363806759343205
13,bus stop,-19.47917,11.14614,1,203.94091498886803,232.46060999257867,0.0,13.0,0.5,40.559085011131984
14,bus stop,-18.07917,1.34614,1,211.736356227072,237.65757081804801,0.0,14.0,0.5,32.76364377292798
15,bus stop,-18.07917,2.74614,1,211.4520298384939,237.46801989232927,0.0,15.0,0.5,33.04797016150611
16,bus stop,-16.67917,-19.65386,1,197.9145275546279,228.44301836975194,0.0,16.0,0.5,46.58547244537208
17,bus stop,-16.67917,22.34614,1,194.10634654184435,225.90423102789623,0.0,17.0,0.5,50.393653458155654
18,bus stop,-16.67917,23.74614,1,192.0569110657156,224.53794071047707,0.0,18.0,0.5,52.443088934284404
19,bus stop,-15.27917,-9.85386,1,211.6426303418287,237.59508689455248,0.0,19.0,0.5,32.8573696581713
20,bus stop,-15.27917,-8.45386,1,212.9422027872497,238.46146852483315,0.0,20.0,0.5,31.557797212750287
21,bus stop,-15.27917,-0.05386,1,216.88687060918056,241.09124707278704,0.0,21.0,0.5,27.613129390819452
22,bus stop,-13.87917,-26.65386,1,190.19105370911535,223.2940358060769,0.0,22.0,0.5,54.30894629088466
23,bus stop,-13.87917,-25.25386,1,192.42204651083279,224.78136434055517,0.0,23.0,0.5,52.07795348916723
24,bus stop,-13.87917,-0.05386,1,219.41697378592602,242.77798252395067,0.0,24.0,0.5,25.083026214073982
25,bus stop,-13.87917,15.34614,1,207.10584514650287,234.57056343100191,0.0,25.0,0.5,37.39415485349714
26,bus stop,-13.87917,16.74614,1,205.19268530177618,233.29512353451747,0.0,26.0,0.5,39.307314698223806
27,bus stop,-12.47917,-21.05386,1,200.26921387488522,230.0128092499235,0.0,27.0,0.5,44.230786125114776
28,bus stop,-12.47917,-19.65386,1,202.4259449201307,231.4506299467538,0.0,28.0,0.5,42.074055079869325
29,bus stop,-12.47917,-15.45386,1,208.60243412770978,235.5682894184732,0.0,29.0,0.5,35.89756587229021
30,bus stop,-11.07917,-19.65386,1,203.72616722973,232.31744481982,0.0,30.0,0.5,40.77383277026999
31,bus stop,-11.07917,-8.45386,1,219.31422046580954,242.7094803105397,0.0,31.0,0.5,25.18577953419046
32,bus stop,-11.07917,-5.65386,1,222.02093870291787,244.51395913527858,0.0,32.0,0.5,22.47906129708212
33,bus stop,-11.07917,-4.25386,1,223.05227101104293,245.20151400736196,0.0,33.0,0.5,21.447728988957067
34,bus stop,-11.07917,-2.85386,1,223.82380644132812,245.7158709608854,0.0,34.0,0.5,20.676193558671873
35,bus stop,-11.07917,2.74614,1,223.87150567043912,245.74767044695943,0.0,35.0,0.5,20.62849432956087
36,bus stop,-11.07917,4.14614,1,223.12127749075404,245.24751832716936,0.0,36.0,0.5,21.378722509245975
37,bus stop,-11.07917,19.54614,1,203.89564030327077,232.43042686884718,0.0,37.0,0.5,40.60435969672923
38,bus stop,-11.07917,20.94614,1,201.67634700451552,230.95089800301034,0.0,38.0,0.5,42.82365299548448
39,bus stop,-11.07917,22.34614,1,199.4242914123349,229.44952760822326,0.0,39.0,0.5,45.07570858766511
40,bus stop,-9.67917,20.94614,1,202.7993093210931,231.6995395473954,0.0,40.0,0.5,41.70069067890691
41,bus stop,-9.67917,22.34614,1,200.48975287617313,230.15983525078207,0.0,41.0,0.5,44.01024712382688
42,bus stop,-8.27917,-26.65386,1,194.0600852747079,225.8733901831386,0.0,42.0,0.5,50.4399147252921
