passenger_ID,passenger_X,passenger_Y,passenger_StationID,passenger_DepartureTime,DistanceFromStation
2,-1.82698,-3.71231,1,13,4.13752703321846
3,-1.15062,-4.10755,1,13,4.26566754066133
4,1.54494,3.12444,1,13,3.48553302919492
5,-2.25693,-0.39602,1,13,2.29141284888728
7,-0.02896,2.51529,1,13,2.51546044958361
9,-1.5708,-3.16486,1,13,3.53323686443293
12,2.96504,2.9365,1,13,4.17306889421941
16,-0.5838,3.55749,1,13,3.6050708787976
17,3.20322,0.08127,1,13,3.20424809196732
18,3.28866,2.68657,1,13,4.24652257539788
19,1.74087,-1.3222,1,13,2.18605240521513
21,-2.37176,-0.52921,1,13,2.43008084601358
24,0.90895,-1.62483,1,13,1.86179338847076
25,-3.48894,-2.14518,1,13,4.09566786385428
28,2.54128,0.64213,1,13,2.62115278673462
29,-4.11314,0.92947,1,13,4.21684985770121
31,2.59058,2.74278,1,13,3.77278962342659
34,-2.70834,1.91049,1,13,3.31437312905173
35,-0.51931,-3.64717,1,13,3.68395262822839
37,1.61658,1.15933,1,13,1.98931885959672
38,-4.62474,0.90624,1,13,4.71269642555624
42,-3.42231,-1.91097,1,13,3.91969990709531
43,0.61775,2.5557,1,13,2.62929770660445
44,-2.74918,0.90035,1,13,2.89285522630533
45,2.39941,-2.5458,1,13,3.49832264082709
46,3.62573,-1.80549,1,13,4.05039598079489
47,-3.41023,-1.84818,1,13,3.87884561055152
48,-2.65797,2.7603,1,13,3.83197850092444
51,1.85,4.54454,1,13,4.9066581274676
52,4.06995,-2.45051,1,13,4.75073675045992
54,4.40567,-1.65424,1,13,4.70599973062643
55,4.75792,-1.46835,1,13,4.97934731990218
57,-0.9182,3.531,1,13,3.64843386088809
58,1.07864,2.47316,1,13,2.69814749995159
60,-2.75239,-0.36643,1,13,2.77667496600981
61,-1.62417,1.94347,1,13,2.53278504768574
62,-4.66387,1.40978,1,13,4.87228631178402
63,-2.04905,3.4184,1,13,3.98548084145858
67,2.64985,2.70588,1,13,3.7872802433552
71,-0.63643,-4.46411,1,13,4.50925166576063
75,-2.83971,3.31653,1,13,4.36615874911324
78,0.62812,1.88175,1,13,1.98381104254833
79,3.89114,-1.20554,1,13,4.07360662946769
81,-2.60502,-1.38194,1,13,2.94887590721657
82,3.80114,-0.93636,1,13,3.91477426775585
83,1.39974,-1.64035,1,13,2.15638773356009
84,-3.07752,1.02483,1,13,3.24366981422336
85,2.40794,4.00739,1,13,4.67518203963468
86,4.1455,2.07857,1,13,4.63741758403909
87,-2.28767,-0.17827,1,13,2.29460097755707
88,2.14154,3.40929,1,13,4.02609654772084
89,-2.9788,0.05234,1,13,2.97926124308871
92,-3.97035,-0.97834,1,13,4.0891125792165
93,-3.53625,0.24321,1,13,3.54459868547602
95,-2.86103,0.89731,1,13,2.99844469792713
99,-0.00435,-3.60864,1,13,3.60864332570809
100,0.32439,3.10729,1,13,3.12417741970318
101,-3.17058,1.69977,1,13,3.59747616270701
103,-3.24661,1.30038,1,13,3.49735525519648
104,-2.90484,-3.30814,1,13,4.40248824012597
105,2.72428,0.59763,1,13,2.78906306179864
108,0.76036,4.74446,1,13,4.80500494205298
111,-3.09718,-3.78274,1,13,4.88892620441696
112,-2.80173,3.87867,1,13,4.78474685398682
113,3.44818,-2.48033,1,13,4.24758077663923
114,2.70939,-0.0357,1,13,2.70962984156033
115,-1.76426,3.59262,1,13,4.00244146542865
116,2.9195,0.33552,1,13,2.93871907873958
119,0.96311,1.50889,1,13,1.79006464551237
120,3.81224,0.83931,1,13,3.9035363569495
124,-4.78625,-0.13692,1,13,4.7882053183888
125,-2.35025,0.38501,1,13,2.38157578442431
127,-1.02891,-4.18265,1,13,4.30734250780003
128,4.57441,-1.31482,1,13,4.75962184375473
129,4.57954,-0.1622,1,13,4.58240647009768
130,2.45211,-2.74033,1,13,3.67725859986668
134,3.53815,-2.10329,1,13,4.1161102452573
135,-1.06064,1.85623,1,13,2.1378826371022
138,-0.07869,2.43453,1,13,2.43580249167404
139,0.59846,3.1829,1,13,3.23866888972273
141,-3.68929,-1.19598,1,13,3.8782999869358
142,-2.46915,-3.46701,1,13,4.25639120089091
143,-1.94253,-0.28252,1,13,1.96296911828418
144,1.85751,-2.07421,1,13,2.7843646391039
147,3.30783,3.71353,1,13,4.97313555361255
148,1.31317,-2.82683,1,13,3.11694527560162
152,-3.31525,-0.71878,1,13,3.39227567268536
156,-2.48584,-2.91304,1,13,3.8295171086669
157,-2.68963,-4.10541,1,13,4.90800181784114
160,2.68137,-2.00638,1,13,3.34892323617757
161,3.20385,-1.9676,1,13,3.75980304307984
162,3.41785,-0.5138,1,13,3.45625755695305
167,0.42714,3.33415,1,13,3.36139496202434
169,4.18599,0.71132,1,13,4.24599418765181
172,2.49154,-0.33046,1,13,2.51335947165808
173,0.19373,4.9757,1,13,4.97947041663156
174,-2.03011,-1.25849,1,13,2.38854277269627
175,-3.96381,-2.88822,1,13,4.90445156574292
176,-1.4927,-0.82702,1,13,1.70649204195496
178,-1.76118,0.94614,1,13,1.9992334004931
179,4.32663,-1.04857,1,13,4.45187881663108
180,-1.25152,4.42382,1,13,4.59744045315401
181,1.05841,1.38578,1,13,1.74373615722448
185,2.37808,-1.71674,1,13,2.93299513587549
186,-1.75743,3.49943,1,13,3.91593359517606
188,3.14393,0.34099,1,13,3.1623685370159
189,-4.1194,1.71248,1,13,4.46116634042819
190,0.74242,-3.68547,1,13,3.7595075881548
192,3.08651,-3.90165,1,13,4.97487745331777
196,4.12787,0.53365,1,13,4.162219647853
197,-0.38172,2.32981,1,13,2.36087593419352
198,-3.49048,-0.05116,1,13,3.49085159868633
200,-3.19335,3.63993,1,13,4.84217212960045
203,-4.22468,0.14482,1,13,4.22715638157757
204,1.26506,-1.77206,1,13,2.17728255486463
205,3.03081,0.52362,1,13,3.07571319736175
207,2.99678,-2.02174,1,13,3.6149898842116
208,1.10165,4.41032,1,13,4.54582912364439
210,-2.91474,0.19594,1,13,2.92131563846069
211,1.96905,-2.94988,1,13,3.54668122290441
217,-2.34571,3.51029,1,13,4.22191170036849
218,1.65053,-2.02474,1,13,2.61224854157184
219,-2.20108,-0.59143,1,13,2.27915500484849
221,-0.05465,-4.90699,1,13,4.90729239744914
222,4.26053,0.35917,1,13,4.27564751771942
223,3.92166,0.11225,1,13,3.92326944075927
227,0.65674,-4.88477,1,13,4.92871726082104
230,-1.84065,0.68049,1,13,1.96240848796246
231,-0.08443,-1.75996,1,13,1.76198787871198
234,-0.02008,-3.37935,1,13,3.37940578958302
236,2.9824,-1.8738,1,13,3.5221898573607
239,2.85029,3.09117,1,13,4.20469663871866
241,3.00928,-0.34713,1,13,3.02923643552461
242,-2.78581,0.09369,1,13,2.78738188279342
244,3.58505,-0.63259,1,13,3.64043027833037
246,-1.8102,0.6099,1,13,1.91018560812386
248,1.03113,-1.49785,1,13,1.81845736402007
252,-1.47387,-4.1708,1,13,4.42355418883627
257,1.37965,4.68948,1,13,4.8882173941056
258,0.76279,3.97484,1,13,4.04737393275627
259,-2.38916,3.98202,1,13,4.64376889845577
260,-4.83434,-1.11691,1,13,4.96169069246624
263,2.46666,1.27617,1,13,2.77723744100436
267,-1.90613,-4.14768,1,13,4.56471325333705
271,0.43003,-3.83842,1,13,3.86243326562385
272,2.75411,1.07857,1,13,2.95778113481999
273,-3.26359,-0.1762,1,13,3.26834031902848
274,-3.21088,0.88781,1,13,3.33136060868807
276,-2.78334,2.2696,1,13,3.59138508322666
277,0.53148,3.69721,1,13,3.73521168534439
281,-2.12468,-1.80671,1,13,2.78899552559933
282,1.8993,-4.19783,1,13,4.60750429880059
285,-3.69683,-0.48286,1,13,3.72823289433256
286,-3.92636,-0.40269,1,13,3.94695264651763
288,1.06326,-4.29627,1,13,4.42588707403678
291,2.92989,-3.94114,1,13,4.91088705211515
299,1.14378,-3.74453,1,13,3.91531779007021
303,1.4276,2.252,1,13,2.66637505792868
304,3.66884,1.77284,1,13,4.07472275734973
308,3.61922,-1.11743,1,13,3.78779705630429
311,0.0639,4.45241,1,13,4.45287020317985
313,-2.87416,-1.69055,1,13,3.33448027554571
314,-1.81977,4.37548,1,13,4.73882039187222
316,-1.27436,-3.3487,1,13,3.58298164339663
317,1.62061,1.64716,1,13,2.31073726100541
318,1.65674,-1.68185,1,13,2.36080580110911
321,3.23241,-3.36925,1,13,4.66908354382964
322,2.18137,-3.95527,1,13,4.51691414803305
324,-2.36937,0.16286,1,13,2.37496369967735
327,-3.77174,1.20743,1,13,3.96029169645516
328,4.02879,1.20951,1,13,4.20643015054234
329,1.39182,4.7524,1,13,4.95201888871128
336,-3.05237,2.9189,1,13,4.22338289798576
337,-0.12405,-4.05342,1,13,4.0553137285882
338,-1.31261,-3.29573,1,13,3.54750590188542
339,-3.65412,0.98026,1,13,3.78332062861469
340,3.83227,0.38761,1,13,3.85182392842853
345,-1.11703,-3.56547,1,13,3.73635350906366
348,-3.42189,1.69104,1,13,3.81692386769109
349,-3.74617,0.1471,1,13,3.74906160236345
350,1.68503,0.98649,1,13,1.95256082755041
354,-3.11712,0.26565,1,13,3.12841764120585
356,-0.17555,-1.61341,1,13,1.62292967421365
357,-3.12774,-0.36775,1,13,3.14928880076036
359,-1.11379,-4.23703,1,13,4.38098075753939
360,-0.24889,2.5813,1,13,2.59326900831011
361,1.55894,4.69722,1,13,4.9491555761707
362,-3.27244,-3.4744,1,13,4.7728744654949
364,-0.97936,4.64483,1,13,4.74695675533157
366,1.4464,-1.094,1,13,1.8135345769534
370,-2.33973,-4.00107,1,13,4.63495879312021
371,2.85105,-1.63187,1,13,3.28503631890393
374,-0.6515,4.83996,1,13,4.88361709989876
377,-1.99303,4.47785,1,13,4.90135794534106
378,-1.97123,-1.80411,1,13,2.67218535114551
380,-0.90957,3.34611,1,13,3.46753015507147
381,3.95834,2.96786,1,13,4.94738588842301
382,0.24457,1.86623,1,13,1.88218368475244
383,-0.1712,-2.81738,1,13,2.82257561638041
384,-4.55559,-1.72136,1,13,4.86995292627159
