node,type_node,x,y,t_arr,t_begin_service,t_wait,t_departure,ride_time,num_passenger,qi,ei,li,service_or_chg_time,Li,lyr,cus_set
466,depot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1258.0066898761925,0.0,0.0,1,Int64[]
417,bus stop,13.87423,-14.24966,23.961885718916534,208.55717142162518,0.0,209.05717142162518,35.942828578374815,1,1,208.55717142162518,235.53811428108347,0.5,35.9428285783748,1,[907]
433,bus stop,15.27423,-12.84966,211.4425918882786,211.4425918882786,0.0,211.9425918882786,33.0574081117214,2,1,208.42706509038447,235.45137672692297,0.5,36.07293490961554,1,[828]
419,bus stop,13.87423,-10.04966,215.71427281418187,215.71427281418187,0.0,216.21427281418187,28.785727185818132,4,2,213.53937175250877,238.8595811683392,0.5,30.960628247491226,1,"[691, 708]"
434,bus stop,15.27423,-11.44966,218.59969328083528,218.59969328083528,0.0,219.09969328083528,25.900306719164718,7,3,210.00148083252947,236.50098722168633,0.5,34.49851916747052,1,"[570, 763, 773]"
418,bus stop,13.87423,-11.44966,220.7864402687871,220.7864402687871,0.0,221.2864402687871,23.71355973121291,9,2,211.99051999157416,237.82701332771612,0.5,32.50948000842584,1,"[499, 608]"
353,bus stop,8.27423,-10.04966,228.24107626380484,228.8161150331461,0.0,229.3161150331461,15.683884966853896,10,1,220.97417254971916,243.8161150331461,0.5,23.52582745028084,1,[912]
464,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,9,-1,245.0,260.0,0.0,23.52582745028084,1,Int64[]
464,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,7,-2,245.0,260.0,0.0,32.50948000842584,1,Int64[]
464,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,4,-3,245.0,260.0,0.0,34.49851916747052,1,Int64[]
464,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,2,-2,245.0,260.0,0.0,30.960628247491226,1,Int64[]
464,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,1,-1,245.0,260.0,0.0,36.07293490961554,1,Int64[]
464,transit stop,0.0,0.0,245.0,245.0,0.0,245.0,0.0,0,-1,245.0,260.0,0.0,35.9428285783748,1,Int64[]
466,depot,0.0,0.0,245.0,245.0,0.0,245.0,0.0,0,0,0.0,1258.0066898761925,0.0,0.0,1,Int64[]
