id,v_type,x,y,lyr,ei,li,chg_power,set_physical,s_t,Li
1,bus stop,-29.6891,-3.13789,1,190.54614964775564,223.5307664318371,0.0,1.0,0.5,53.95385035224436
2,bus stop,-28.2891,-4.53789,1,192.72153144844208,224.98102096562803,0.0,2.0,0.5,51.77846855155793
3,bus stop,-28.2891,-3.13789,1,193.06156836984835,225.20771224656556,0.0,3.0,0.5,51.438431630151655
4,bus stop,-28.2891,5.26211,1,192.49817010768368,224.83211340512244,0.0,4.0,0.5,52.00182989231634
5,bus stop,-28.2891,6.66211,1,191.9765396197328,224.4843597464885,0.0,5.0,0.5,52.52346038026722
6,bus stop,-26.8891,-12.93789,1,190.57267990279428,223.5484532685295,0.0,6.0,0.5,53.92732009720574
7,bus stop,-26.8891,-4.53789,1,195.21808541068822,226.64539027379215,0.0,7.0,0.5,49.28191458931177
8,bus stop,-26.8891,-3.13789,1,195.57547089022387,226.88364726014925,0.0,8.0,0.5,48.92452910977613
9,bus stop,-26.8891,5.26211,1,194.98346122563743,226.48897415042495,0.0,9.0,0.5,49.51653877436257
10,bus stop,-25.4891,-14.33789,1,191.64761250109842,224.26507500073228,0.0,10.0,0.5,52.85238749890158
11,bus stop,-25.4891,-12.93789,1,192.84096233749435,225.06064155832956,0.0,11.0,0.5,51.65903766250565
12,bus stop,-25.4891,-11.53789,1,193.93577846535703,225.7905189769047,0.0,12.0,0.5,50.564221534642954
13,bus stop,-25.4891,-7.33789,1,196.56450587710498,227.54300391806999,0.0,13.0,0.5,47.93549412289504
14,bus stop,-25.4891,-5.93789,1,197.2019239163057,227.96794927753712,0.0,14.0,0.5,47.29807608369431
15,bus stop,-25.4891,-4.53789,1,197.71103308537462,228.30735539024974,0.0,15.0,0.5,46.78896691462538
16,bus stop,-25.4891,-3.13789,1,198.0876108354351,228.5584072236234,0.0,16.0,0.5,46.4123891645649
17,bus stop,-25.4891,1.06211,1,198.3953872928619,228.7635915285746,0.0,17.0,0.5,46.1046127071381
18,bus stop,-25.4891,12.26211,1,193.38213604380056,225.42142402920038,0.0,18.0,0.5,51.11786395619944
19,bus stop,-25.4891,13.66211,1,192.23553128421463,224.65702085614308,0.0,19.0,0.5,52.264468715785384
20,bus stop,-24.0891,-18.53789,1,189.56683701824258,222.87789134549504,0.0,20.0,0.5,54.93316298175742
21,bus stop,-24.0891,-17.13789,1,191.07224836151127,223.8814989076742,0.0,21.0,0.5,53.42775163848872
22,bus stop,-24.0891,-14.33789,1,193.8376056330746,225.72507042204973,0.0,22.0,0.5,50.66239436692541
23,bus stop,-24.0891,-12.93789,1,195.08381327062958,226.55587551375305,0.0,23.0,0.5,49.41618672937042
24,bus stop,-24.0891,-11.53789,1,196.22947236604642,227.31964824403093,0.0,24.0,0.5,48.270527633953584
25,bus stop,-24.0891,-8.73789,1,198.18994115361932,228.62662743574623,0.0,25.0,0.5,46.31005884638067
26,bus stop,-24.0891,-7.33789,1,198.99049620725432,229.16033080483624,0.0,26.0,0.5,45.50950379274567
27,bus stop,-24.0891,-5.93789,1,199.6623892265125,229.60825948434166,0.0,27.0,0.5,44.83761077348752
28,bus stop,-24.0891,-4.53789,1,200.1997656485461,229.96651043236406,0.0,28.0,0.5,44.3002343514539
29,bus stop,-24.0891,1.06211,1,200.92318676714615,230.44879117809742,0.0,29.0,0.5,43.576813232853866
30,bus stop,-24.0891,5.26211,1,199.9389040731888,229.79260271545922,0.0,30.0,0.5,44.561095926811184
31,bus stop,-24.0891,6.66211,1,199.3312624886796,229.3875083257864,0.0,31.0,0.5,45.1687375113204
32,bus stop,-24.0891,8.06211,1,198.5920328718337,228.89468858122248,0.0,32.0,0.5,45.90796712816629
33,bus stop,-22.6891,-18.53789,1,191.54946881151906,224.19964587434603,0.0,33.0,0.5,52.95053118848094
34,bus stop,-22.6891,-17.13789,1,193.1129296115647,225.24195307437648,0.0,34.0,0.5,51.38707038843529
35,bus stop,-22.6891,-11.53789,1,198.4983674635101,228.8322449756734,0.0,35.0,0.5,46.0016325364899
36,bus stop,-22.6891,-10.13789,1,199.58855889067178,229.55903926044786,0.0,36.0,0.5,44.91144110932822
37,bus stop,-22.6891,-8.73789,1,200.55995097502498,230.20663398334997,0.0,37.0,0.5,43.940049024975025
38,bus stop,-22.6891,-7.33789,1,201.40450959295276,230.76967306196852,0.0,38.0,0.5,43.09549040704724
39,bus stop,-22.6891,-5.93789,1,202.11465232138903,231.2431015475927,0.0,39.0,0.5,42.38534767861098
40,bus stop,-22.6891,-4.53789,1,202.68353049866948,231.62235366577966,0.0,40.0,0.5,41.81646950133051
41,bus stop,-22.6891,-3.13789,1,203.10531961011395,231.90354640674263,0.0,41.0,0.5,41.394680389886055
42,bus stop,-22.6891,3.86211,1,202.90580486055197,231.7705365737013,0.0,42.0,0.5,41.59419513944804
43,bus stop,-22.6891,5.26211,1,202.40727345300098,231.43818230200065,0.0,43.0,0.5,42.09272654699903
44,bus stop,-22.6891,13.66211,1,196.6357713238675,227.59051421591167,0.0,44.0,0.5,47.864228676132505
45,bus stop,-22.6891,20.66211,1,189.04079833023934,222.52719888682623,0.0,45.0,0.5,55.45920166976066
46,bus stop,-21.2891,-21.33789,1,190.0267709016493,223.18451393443286,0.0,46.0,0.5,54.4732290983507
47,bus stop,-21.2891,-10.13789,1,201.88607129371002,231.09071419580667,0.0,47.0,0.5,42.61392870628999
48,bus stop,-21.2891,-8.73789,1,202.9110917961854,231.77406119745694,0.0,48.0,0.5,41.588908203814604
49,bus stop,-21.2891,-3.13789,1,205.61004060366062,233.57336040244041,0.0,49.0,0.5,38.889959396339385
50,bus stop,-21.2891,2.46211,1,205.7692769624581,233.67951797497207,0.0,50.0,0.5,38.7307230375419
51,bus stop,-21.2891,3.86211,1,205.3977437151436,233.43182914342907,0.0,51.0,0.5,39.1022562848564
52,bus stop,-21.2891,12.26211,1,200.10005530036756,229.9000368669117,0.0,52.0,0.5,44.399944699632435
53,bus stop,-21.2891,13.66211,1,198.78464411131404,229.02309607420938,0.0,53.0,0.5,45.715355888685956
54,bus stop,-21.2891,15.06211,1,197.37001529775182,228.0800101985012,0.0,54.0,0.5,47.129984702248194
55,bus stop,-21.2891,20.66211,1,190.88440127056964,223.7562675137131,0.0,55.0,0.5,53.615598729430346
56,bus stop,-19.8891,-21.33789,1,191.7833509697776,224.35556731318505,0.0,56.0,0.5,52.71664903022241
57,bus stop,-19.8891,-19.93789,1,193.60489909306517,225.5699327287101,0.0,57.0,0.5,50.89510090693484
58,bus stop,-19.8891,-12.93789,1,201.62007879349204,230.91338586232803,0.0,58.0,0.5,42.87992120650797
59,bus stop,-19.8891,-11.53789,1,202.9455541504329,231.7970361002886,0.0,59.0,0.5,41.55444584956709
60,bus stop,-19.8891,-8.73789,1,205.23997348243932,233.3266489882929,0.0,60.0,0.5,39.26002651756066
61,bus stop,-19.8891,1.06211,1,208.5046283067482,235.50308553783213,0.0,61.0,0.5,35.995371693251805
