busType,maxPax,maxKWH,minSOC,maxSOC,SOC,consumption
1,200,35.8,10,80,20,0.024
1,200,35.8,10,80,20.1503759398496,0.024
1,200,35.8,10,80,20.3007518796992,0.024
1,200,35.8,10,80,20.4511278195489,0.024
1,200,35.8,10,80,20.6015037593985,0.024
1,200,35.8,10,80,20.7518796992481,0.024
1,200,35.8,10,80,20.9022556390977,0.024
1,200,35.8,10,80,21.0526315789474,0.024
1,200,35.8,10,80,21.203007518797,0.024
1,200,35.8,10,80,21.3533834586466,0.024
1,200,35.8,10,80,21.5037593984962,0.024
1,200,35.8,10,80,21.6541353383459,0.024
1,200,35.8,10,80,21.8045112781955,0.024
1,200,35.8,10,80,21.9548872180451,0.024
1,200,35.8,10,80,22.1052631578947,0.024
1,200,35.8,10,80,22.2556390977444,0.024
1,200,35.8,10,80,22.406015037594,0.024
1,200,35.8,10,80,22.5563909774436,0.024
1,200,35.8,10,80,22.7067669172932,0.024
1,200,35.8,10,80,22.8571428571429,0.024
1,200,35.8,10,80,23.0075187969925,0.024
1,200,35.8,10,80,23.1578947368421,0.024
1,200,35.8,10,80,23.3082706766917,0.024
1,200,35.8,10,80,23.4586466165414,0.024
1,200,35.8,10,80,23.609022556391,0.024
1,200,35.8,10,80,23.7593984962406,0.024
1,200,35.8,10,80,23.9097744360902,0.024
1,200,35.8,10,80,24.0601503759398,0.024
1,200,35.8,10,80,24.2105263157895,0.024
1,200,35.8,10,80,24.3609022556391,0.024
1,200,35.8,10,80,24.5112781954887,0.024
1,200,35.8,10,80,24.6616541353383,0.024
1,200,35.8,10,80,24.812030075188,0.024
1,200,35.8,10,80,24.9624060150376,0.024
1,200,35.8,10,80,25.1127819548872,0.024
1,200,35.8,10,80,25.2631578947368,0.024
1,200,35.8,10,80,25.4135338345865,0.024
1,200,35.8,10,80,25.5639097744361,0.024
1,200,35.8,10,80,25.7142857142857,0.024
1,200,35.8,10,80,25.8646616541353,0.024
1,200,35.8,10,80,26.015037593985,0.024
1,200,35.8,10,80,26.1654135338346,0.024
1,200,35.8,10,80,26.3157894736842,0.024
1,200,35.8,10,80,26.4661654135338,0.024
1,200,35.8,10,80,26.6165413533835,0.024
1,200,35.8,10,80,26.7669172932331,0.024
1,200,35.8,10,80,26.9172932330827,0.024
1,200,35.8,10,80,27.0676691729323,0.024
1,200,35.8,10,80,27.218045112782,0.024
1,200,35.8,10,80,27.3684210526316,0.024
1,200,35.8,10,80,27.5187969924812,0.024
1,200,35.8,10,80,27.6691729323308,0.024
1,200,35.8,10,80,27.8195488721805,0.024
1,200,35.8,10,80,27.9699248120301,0.024
1,200,35.8,10,80,28.1203007518797,0.024
1,200,35.8,10,80,28.2706766917293,0.024
1,200,35.8,10,80,28.4210526315789,0.024
1,200,35.8,10,80,28.5714285714286,0.024
1,200,35.8,10,80,28.7218045112782,0.024
1,200,35.8,10,80,28.8721804511278,0.024
1,200,35.8,10,80,29.0225563909774,0.024
1,200,35.8,10,80,29.1729323308271,0.024
1,200,35.8,10,80,29.3233082706767,0.024
1,200,35.8,10,80,29.4736842105263,0.024
1,200,35.8,10,80,29.6240601503759,0.024
1,200,35.8,10,80,29.7744360902256,0.024
