busStop_ID,busStop_X,busStop_Y
1,-29.3298,1.19916
2,-29.3298,6.79916
3,-27.9298,-11.40084
4,-27.9298,-5.80084
5,-27.9298,-1.60084
6,-27.9298,-0.20084
7,-27.9298,5.39916
8,-27.9298,6.79916
9,-27.9298,8.19916
10,-27.9298,9.59916
11,-27.9298,12.39916
12,-26.5298,-14.20084
13,-26.5298,-11.40084
14,-26.5298,-10.00084
15,-26.5298,-4.40084
16,-26.5298,5.39916
17,-26.5298,6.79916
18,-26.5298,9.59916
19,-26.5298,12.39916
20,-25.1298,-12.80084
21,-25.1298,-11.40084
22,-25.1298,-10.00084
23,-25.1298,-5.80084
24,-25.1298,-4.40084
25,-25.1298,6.79916
26,-25.1298,10.99916
27,-25.1298,12.39916
28,-25.1298,15.19916
29,-25.1298,16.59916
30,-23.7298,-15.60084
31,-23.7298,-14.20084
32,-23.7298,-10.00084
33,-23.7298,-7.20084
34,-23.7298,-4.40084
35,-23.7298,-3.00084
36,-23.7298,-1.60084
37,-23.7298,-0.20084
38,-23.7298,3.99916
39,-23.7298,5.39916
40,-23.7298,6.79916
41,-23.7298,12.39916
42,-23.7298,16.59916
43,-22.3298,-19.80084
44,-22.3298,-18.40084
45,-22.3298,-17.00084
46,-22.3298,-15.60084
47,-22.3298,-12.80084
48,-22.3298,-10.00084
49,-22.3298,-7.20084
50,-22.3298,-1.60084
51,-22.3298,6.79916
52,-22.3298,12.39916
53,-22.3298,16.59916
54,-20.9298,-19.80084
55,-20.9298,-15.60084
56,-20.9298,-12.80084
57,-20.9298,-8.60084
58,-20.9298,-7.20084
59,-20.9298,-5.80084
60,-20.9298,-3.00084
61,-20.9298,-1.60084
62,-20.9298,1.19916
63,-20.9298,9.59916
64,-20.9298,13.79916
65,-20.9298,15.19916
66,-20.9298,16.59916
67,-20.9298,19.39916
68,-19.5298,-19.80084
69,-19.5298,-15.60084
70,-19.5298,-5.80084
71,-19.5298,-1.60084
72,-19.5298,-0.20084
73,-19.5298,1.19916
74,-19.5298,9.59916
75,-19.5298,13.79916
76,-19.5298,15.19916
77,-19.5298,19.39916
78,-18.1298,-17.00084
79,-18.1298,-15.60084
80,-18.1298,-14.20084
81,-18.1298,-11.40084
82,-18.1298,-10.00084
83,-18.1298,-5.80084
84,-18.1298,-3.00084
85,-18.1298,-1.60084
86,-18.1298,-0.20084
87,-18.1298,2.59916
88,-18.1298,8.19916
89,-18.1298,9.59916
90,-18.1298,10.99916
91,-18.1298,16.59916
92,-18.1298,23.59916
93,-18.1298,24.99916
94,-16.7298,-17.00084
95,-16.7298,-11.40084
96,-16.7298,-10.00084
97,-16.7298,-8.60084
98,-16.7298,-3.00084
99,-16.7298,-1.60084
100,-16.7298,-0.20084
101,-16.7298,1.19916
102,-16.7298,2.59916
103,-16.7298,3.99916
104,-16.7298,5.39916
105,-16.7298,6.79916
106,-16.7298,8.19916
107,-16.7298,10.99916
108,-16.7298,16.59916
109,-16.7298,17.99916
110,-16.7298,20.79916
111,-15.3298,-15.60084
112,-15.3298,-14.20084
113,-15.3298,-12.80084
114,-15.3298,-11.40084
115,-15.3298,-10.00084
116,-15.3298,-3.00084
117,-15.3298,1.19916
118,-15.3298,2.59916
119,-15.3298,3.99916
120,-15.3298,5.39916
121,-15.3298,6.79916
122,-15.3298,8.19916
123,-15.3298,9.59916
124,-15.3298,10.99916
125,-15.3298,12.39916
126,-15.3298,13.79916
127,-15.3298,20.79916
128,-15.3298,23.59916
129,-13.9298,-21.20084
130,-13.9298,-15.60084
131,-13.9298,-5.80084
132,-13.9298,-4.40084
133,-13.9298,-3.00084
134,-13.9298,-0.20084
135,-13.9298,1.19916
136,-13.9298,10.99916
137,-13.9298,12.39916
138,-13.9298,13.79916
139,-13.9298,15.19916
140,-13.9298,19.39916
141,-13.9298,20.79916
142,-13.9298,22.19916
143,-13.9298,23.59916
144,-13.9298,24.99916
145,-13.9298,26.39916
146,-12.5298,-26.80084
147,-12.5298,-25.40084
148,-12.5298,-21.20084
149,-12.5298,-17.00084
150,-12.5298,-15.60084
151,-12.5298,-8.60084
152,-12.5298,-5.80084
153,-12.5298,1.19916
154,-12.5298,5.39916
155,-12.5298,6.79916
156,-12.5298,8.19916
157,-12.5298,15.19916
158,-12.5298,16.59916
159,-12.5298,17.99916
160,-12.5298,26.39916
161,-11.1298,-26.80084
162,-11.1298,-25.40084
163,-11.1298,-19.80084
164,-11.1298,-17.00084
165,-11.1298,-15.60084
166,-11.1298,-0.20084
167,-11.1298,1.19916
168,-11.1298,8.19916
169,-11.1298,9.59916
170,-11.1298,12.39916
171,-11.1298,13.79916
172,-11.1298,16.59916
173,-11.1298,17.99916
174,-9.7298,-26.80084
175,-9.7298,-24.00084
176,-9.7298,-22.60084
177,-9.7298,-19.80084
178,-9.7298,-11.40084
179,-9.7298,-10.00084
180,-9.7298,-5.80084
181,-9.7298,12.39916
182,-9.7298,15.19916
183,-9.7298,19.39916
184,-9.7298,20.79916
185,-9.7298,22.19916
